holeid,x,y,z,MD,TVD,TEMP,GM
LONCCARICA-1,680935.09,5070578.64,217.02,0.0,0.0,40.7187715012,
LONCCARICA-1,680935.09,5070578.64,212.02,5.0,5.0,40.759486864,
LONCCARICA-1,680935.09,5070578.64,207.02,10.0,10.0,40.800360763,Lonja
LONCCARICA-1,680935.09,5070578.64,202.02,15.0,15.0,40.8413937671,Lonja
LONCCARICA-1,680935.09,5070578.64,197.02,20.0,20.0,40.8825864459,Lonja
LONCCARICA-1,680935.09,5070578.64,192.02,25.0,25.0,40.9239393689,Lonja
LONCCARICA-1,680935.09,5070578.64,187.02,30.0,30.0,40.965453106,Lonja
LONCCARICA-1,680935.09,5070578.64,182.02,35.0,35.0,41.0071282271,Lonja
LONCCARICA-1,680935.09,5070578.64,177.02,40.0,40.0,41.0489653025,Lonja
LONCCARICA-1,680935.09,5070578.64,172.02,45.0,45.0,41.0909649024,Lonja
LONCCARICA-1,680935.09,5070578.64,167.02,50.0,50.0,41.1331275973,Lonja
LONCCARICA-1,680935.09,5070578.64,162.02,55.0,55.0,41.1754539577,Lonja
LONCCARICA-1,680935.09,5070578.64,157.02,60.0,60.0,41.2179445541,Lonja
LONCCARICA-1,680935.09,5070578.64,152.02,65.0,65.0,41.2605999572,Lonja
LONCCARICA-1,680935.09,5070578.64,147.02,70.0,70.0,41.3034207376,Lonja
LONCCARICA-1,680935.09,5070578.64,142.02,75.0,75.0,41.3464074658,Lonja
LONCCARICA-1,680935.09,5070578.64,137.02,80.0,80.0,41.3895607124,Lonja
LONCCARICA-1,680935.09,5070578.64,132.02,85.0,85.0,41.4328810478,Lonja
LONCCARICA-1,680935.09,5070578.64,127.02,90.0,90.0,41.4763690424,Lonja
LONCCARICA-1,680935.09,5070578.64,122.02,95.0,95.0,41.5200252665,Lonja
LONCCARICA-1,680935.09,5070578.64,117.02,100.0,100.0,41.5638502901,Lonja
LONCCARICA-1,680935.09,5070578.64,112.02,105.0,105.0,41.6078446832,Lonja
LONCCARICA-1,680935.09,5070578.64,107.02,110.0,110.0,41.6520090155,Lonja
