holeid,x,y,z,MD,TVD,TEMP,GM
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,144.16,0.0,0.0,41.7226811564,Lonja
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,139.16,5.0,5.0,41.7228374557,Lonja
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,134.16,10.0,10.0,41.72301623,Lonja
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,129.16,15.0,15.0,41.7232177729,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,124.16,20.0,20.0,41.7234423816,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,119.16,25.0,25.0,41.7236903572,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,114.16,30.0,30.0,41.7239620043,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,109.16,35.0,35.0,41.7242576313,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,104.16,40.0,40.0,41.7245775505,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,99.16,45.0,45.0,41.7249220779,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,94.16,50.0,50.0,41.7252915335,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,89.16,55.0,55.0,41.7256862414,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,84.16,60.0,60.0,41.7261065295,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,79.16,65.0,65.0,41.7265527298,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,74.16,70.0,70.0,41.7270251785,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,69.16,75.0,75.0,41.7275242159,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,64.16,80.0,80.0,41.7280501864,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,59.16,85.0,85.0,41.7286034389,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,54.16,90.0,90.0,41.7291843264,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,49.16,95.0,95.0,41.7297932063,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,44.16,100.0,100.0,41.7304304406,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,39.16,105.0,105.0,41.7310963956,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,34.16,110.0,110.0,41.731791442,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,29.16,115.0,115.0,41.7325159555,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,24.16,120.0,120.0,41.733270316,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,19.16,125.0,125.0,41.7340549083,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,14.16,130.0,130.0,41.734870122,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,9.16,135.0,135.0,41.7357163515,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,4.16,140.0,140.0,41.7365939959,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-0.84,145.0,145.0,41.7375034594,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-5.84,150.0,150.0,41.7384451511,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-10.84,155.0,155.0,41.7394194852,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-15.84,160.0,160.0,41.7404268811,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-20.84,165.0,165.0,41.7414677631,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-25.84,170.0,170.0,41.742542561,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-30.84,175.0,175.0,41.7436517098,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-35.84,180.0,180.0,41.7447956497,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-40.84,185.0,185.0,41.7459748267,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-45.84,190.0,190.0,41.7471896918,Bilogora
REZOVACCKE_KRCCEVINE-1,689340.71,5072557.33,-50.84,195.0,195.0,41.748440702,Bilogora
