holeid,x,y,z,MD,TVD,TEMP,GM
VIROVITICA-1,685448.76,5073267.09,234.63,0.0,0.0,50.3965834423,
VIROVITICA-1,685448.76,5073267.09,229.63,5.0,5.0,50.4251007919,Lonja
VIROVITICA-1,685448.76,5073267.09,224.63,10.0,10.0,50.4538320816,Lonja
VIROVITICA-1,685448.76,5073267.09,219.63,15.0,15.0,50.4827793198,Lonja
VIROVITICA-1,685448.76,5073267.09,214.63,20.0,20.0,50.5119445332,Lonja
VIROVITICA-1,685448.76,5073267.09,209.63,25.0,25.0,50.5413297665,Lonja
VIROVITICA-1,685448.76,5073267.09,204.63,30.0,30.0,50.5709370829,Lonja
VIROVITICA-1,685448.76,5073267.09,199.63,35.0,35.0,50.6007685641,Lonja
VIROVITICA-1,685448.76,5073267.09,194.63,40.0,40.0,50.6308263098,Lonja
VIROVITICA-1,685448.76,5073267.09,189.63,45.0,45.0,50.6611124385,Lonja
VIROVITICA-1,685448.76,5073267.09,184.63,50.0,50.0,50.6916290872,Lonja
VIROVITICA-1,685448.76,5073267.09,179.63,55.0,55.0,50.7223784111,Lonja
VIROVITICA-1,685448.76,5073267.09,174.63,60.0,60.0,50.7533625842,Lonja
VIROVITICA-1,685448.76,5073267.09,169.63,65.0,65.0,50.784583799,Lonja
VIROVITICA-1,685448.76,5073267.09,164.63,70.0,70.0,50.8160442665,Lonja
VIROVITICA-1,685448.76,5073267.09,159.63,75.0,75.0,50.8477462164,Lonja
VIROVITICA-1,685448.76,5073267.09,154.63,80.0,80.0,50.8796918969,Lonja
VIROVITICA-1,685448.76,5073267.09,149.63,85.0,85.0,50.9118835748,Lonja
VIROVITICA-1,685448.76,5073267.09,144.63,90.0,90.0,50.9443235353,Lonja
VIROVITICA-1,685448.76,5073267.09,139.63,95.0,95.0,50.9770140823,Lonja
VIROVITICA-1,685448.76,5073267.09,134.63,100.0,100.0,51.0099575383,Lonja
VIROVITICA-1,685448.76,5073267.09,129.63,105.0,105.0,51.0431562441,Lonja
VIROVITICA-1,685448.76,5073267.09,124.63,110.0,110.0,51.0766125589,Lonja
VIROVITICA-1,685448.76,5073267.09,119.63,115.0,115.0,51.1103288604,Lonja
VIROVITICA-1,685448.76,5073267.09,114.63,120.0,120.0,51.1443075447,Lonja
VIROVITICA-1,685448.76,5073267.09,109.63,125.0,125.0,51.1785510258,Lonja
VIROVITICA-1,685448.76,5073267.09,104.63,130.0,130.0,51.2130617363,Lonja
VIROVITICA-1,685448.76,5073267.09,99.63,135.0,135.0,51.2478421267,Lonja
VIROVITICA-1,685448.76,5073267.09,94.63,140.0,140.0,51.2828946654,Lonja
VIROVITICA-1,685448.76,5073267.09,89.63,145.0,145.0,51.3182218388,Lonja
VIROVITICA-1,685448.76,5073267.09,84.63,150.0,150.0,51.3538261511,Lonja
VIROVITICA-1,685448.76,5073267.09,79.63,155.0,155.0,51.3897101241,Lonja
VIROVITICA-1,685448.76,5073267.09,74.63,160.0,160.0,51.4258762972,Lonja
VIROVITICA-1,685448.76,5073267.09,69.63,165.0,165.0,51.462327227,Lonja
VIROVITICA-1,685448.76,5073267.09,64.63,170.0,170.0,51.4990654875,Lonja
VIROVITICA-1,685448.76,5073267.09,59.63,175.0,175.0,51.5360936697,Lonja
VIROVITICA-1,685448.76,5073267.09,54.63,180.0,180.0,51.5734143813,Bilogora
VIROVITICA-1,685448.76,5073267.09,49.63,185.0,185.0,51.6110302469,Bilogora
VIROVITICA-1,685448.76,5073267.09,44.63,190.0,190.0,51.6489439075,Bilogora
VIROVITICA-1,685448.76,5073267.09,39.63,195.0,195.0,51.6871580204,Bilogora
VIROVITICA-1,685448.76,5073267.09,34.63,200.0,200.0,51.7256752587,Bilogora
VIROVITICA-1,685448.76,5073267.09,29.63,205.0,205.0,51.7644215919,Bilogora
VIROVITICA-1,685448.76,5073267.09,24.63,210.0,210.0,51.8035504289,Bilogora
VIROVITICA-1,685448.76,5073267.09,19.63,215.0,215.0,51.8429904426,Bilogora
VIROVITICA-1,685448.76,5073267.09,14.63,220.0,220.0,51.8827443676,Bilogora
VIROVITICA-1,685448.76,5073267.09,9.63,225.0,225.0,51.9228149533,Bilogora
VIROVITICA-1,685448.76,5073267.09,4.63,230.0,230.0,51.9632049635,Bilogora
VIROVITICA-1,685448.76,5073267.09,-0.37,235.0,235.0,52.0039171763,Bilogora
VIROVITICA-1,685448.76,5073267.09,-5.37,240.0,240.0,52.0449543834,Bilogora
VIROVITICA-1,685448.76,5073267.09,-10.37,245.0,245.0,52.0863193902,Bilogora
VIROVITICA-1,685448.76,5073267.09,-15.37,250.0,250.0,52.1280150149,Bilogora
VIROVITICA-1,685448.76,5073267.09,-20.37,255.0,255.0,52.1700440886,Bilogora
VIROVITICA-1,685448.76,5073267.09,-25.37,260.0,260.0,52.2124094547,Bilogora
