holeid,x,y,z,MD,TVD,TEMP,GM
VIROVITICA-3ALFA,686218.75,5073539.22,183.15,0.0,0.0,48.6349084255,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,178.15,5.0,5.0,48.6594154994,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,173.15,10.0,10.0,48.6841394485,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,168.15,15.0,15.0,48.7090827537,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,163.15,20.0,20.0,48.7342479257,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,158.15,25.0,25.0,48.7596375051,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,153.15,30.0,30.0,48.7852540631,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,148.15,35.0,35.0,48.8111002012,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,143.15,40.0,40.0,48.8371785518,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,138.15,45.0,45.0,48.8634917782,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,133.15,50.0,50.0,48.8900464354,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,128.15,55.0,55.0,48.9168362297,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,123.15,60.0,60.0,48.9438690055,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,118.15,65.0,65.0,48.9711475493,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,113.15,70.0,70.0,48.9986746799,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,108.15,75.0,75.0,49.0264532482,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,103.15,80.0,80.0,49.0544861374,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,98.15,85.0,85.0,49.0827762632,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,93.15,90.0,90.0,49.1113265742,Lonja
VIROVITICA-3ALFA,686218.75,5073539.22,88.15,95.0,95.0,49.1401400518,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,83.15,100.0,100.0,49.1692197103,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,78.15,105.0,105.0,49.1985685973,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,73.15,110.0,110.0,49.2281916334,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,68.15,115.0,115.0,49.2580882979,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,63.15,120.0,120.0,49.288263535,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,58.15,125.0,125.0,49.3187205259,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,53.15,130.0,130.0,49.3494624856,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,48.15,135.0,135.0,49.380492663,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,43.15,140.0,140.0,49.4118143405,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,38.15,145.0,145.0,49.4434308345,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,33.15,150.0,150.0,49.4753454952,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,28.15,155.0,155.0,49.5075617065,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,23.15,160.0,160.0,49.5400828862,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,18.15,165.0,165.0,49.5729124861,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,13.15,170.0,170.0,49.6060539912,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,8.15,175.0,175.0,49.6395109207,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,3.15,180.0,180.0,49.6732868269,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-1.85,185.0,185.0,49.7073852957,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-6.85,190.0,190.0,49.7418099465,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-11.85,195.0,195.0,49.7765644314,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-16.85,200.0,200.0,49.8116524359,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-21.85,205.0,205.0,49.8470776778,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-26.85,210.0,210.0,49.8828439076,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-31.85,215.0,215.0,49.9189549082,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-36.85,220.0,220.0,49.9554144942,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-41.85,225.0,225.0,49.9922265118,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-46.85,230.0,230.0,50.0293948387,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-51.85,235.0,235.0,50.0669233833,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-56.85,240.0,240.0,50.1048160845,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-61.85,245.0,245.0,50.1430769116,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-66.85,250.0,250.0,50.1817098629,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-71.85,255.0,255.0,50.2207189663,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-76.85,260.0,260.0,50.260108278,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-81.85,265.0,265.0,50.2998818822,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-86.85,270.0,270.0,50.3400438904,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-91.85,275.0,275.0,50.380598441,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-96.85,280.0,280.0,50.4215496982,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-101.85,285.0,285.0,50.4629018517,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-106.85,290.0,290.0,50.5046591157,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-111.85,295.0,295.0,50.546825728,Bilogora
VIROVITICA-3ALFA,686218.75,5073539.22,-116.85,300.0,300.0,50.5894059496,Bilogora
