holeid,x,y,z,TVD,TEMP,GM
LONCCARICA-1,680935.09,5070578.64,217.02,0.0,40.7187715012,5
LONCCARICA-1,680935.09,5070578.64,212.02,5.0,40.759486864,5
LONCCARICA-1,680935.09,5070578.64,207.02,10.0,40.800360763,3
LONCCARICA-1,680935.09,5070578.64,202.02,15.0,40.8413937671,3
LONCCARICA-1,680935.09,5070578.64,197.02,20.0,40.8825864459,3
LONCCARICA-1,680935.09,5070578.64,192.02,25.0,40.9239393689,3
LONCCARICA-1,680935.09,5070578.64,187.02,30.0,40.965453106,3
LONCCARICA-1,680935.09,5070578.64,182.02,35.0,41.0071282271,3
LONCCARICA-1,680935.09,5070578.64,177.02,40.0,41.0489653025,3
LONCCARICA-1,680935.09,5070578.64,172.02,45.0,41.0909649024,3
LONCCARICA-1,680935.09,5070578.64,167.02,50.0,41.1331275973,3
LONCCARICA-1,680935.09,5070578.64,162.02,55.0,41.1754539577,3
LONCCARICA-1,680935.09,5070578.64,157.02,60.0,41.2179445541,3
LONCCARICA-1,680935.09,5070578.64,152.02,65.0,41.2605999572,3
LONCCARICA-1,680935.09,5070578.64,147.02,70.0,41.3034207376,3
LONCCARICA-1,680935.09,5070578.64,142.02,75.0,41.3464074658,3
LONCCARICA-1,680935.09,5070578.64,137.02,80.0,41.3895607124,3
LONCCARICA-1,680935.09,5070578.64,132.02,85.0,41.4328810478,3
LONCCARICA-1,680935.09,5070578.64,127.02,90.0,41.4763690424,3
LONCCARICA-1,680935.09,5070578.64,122.02,95.0,41.5200252665,3
LONCCARICA-1,680935.09,5070578.64,117.02,100.0,41.5638502901,3
LONCCARICA-1,680935.09,5070578.64,112.02,105.0,41.6078446832,3
LONCCARICA-1,680935.09,5070578.64,107.02,110.0,41.6520090155,3
LONCCARICA-1,680935.09,5070578.64,102.02,115.0,41.6963438563,3
LONCCARICA-1,680935.09,5070578.64,97.02,120.0,41.7408497749,3
LONCCARICA-1,680935.09,5070578.64,92.02,125.0,41.7855273401,3
LONCCARICA-1,680935.09,5070578.64,87.02,130.0,41.8303771206,3
LONCCARICA-1,680935.09,5070578.64,82.02,135.0,41.8753996846,3
LONCCARICA-1,680935.09,5070578.64,77.02,140.0,41.9205955999,3
LONCCARICA-1,680935.09,5070578.64,72.02,145.0,41.9659654338,3
LONCCARICA-1,680935.09,5070578.64,67.02,150.0,42.0115097534,3
LONCCARICA-1,680935.09,5070578.64,62.02,155.0,42.0572291252,3
LONCCARICA-1,680935.09,5070578.64,57.02,160.0,42.1031241152,3
LONCCARICA-1,680935.09,5070578.64,52.02,165.0,42.1491952889,3
LONCCARICA-1,680935.09,5070578.64,47.02,170.0,42.1954432111,3
LONCCARICA-1,680935.09,5070578.64,42.02,175.0,42.2418684463,3
LONCCARICA-1,680935.09,5070578.64,37.02,180.0,42.288471558,3
LONCCARICA-1,680935.09,5070578.64,32.02,185.0,42.3352531093,3
LONCCARICA-1,680935.09,5070578.64,27.02,190.0,42.3822136626,3
LONCCARICA-1,680935.09,5070578.64,22.02,195.0,42.4293537794,3
LONCCARICA-1,680935.09,5070578.64,17.02,200.0,42.4766740208,3
LONCCARICA-1,680935.09,5070578.64,12.02,205.0,42.5241749467,3
LONCCARICA-1,680935.09,5070578.64,7.02,210.0,42.5718571165,3
LONCCARICA-1,680935.09,5070578.64,2.02,215.0,42.6197210886,3
LONCCARICA-1,680935.09,5070578.64,-2.98,220.0,42.6677674206,3
LONCCARICA-1,680935.09,5070578.64,-7.98,225.0,42.7159966691,3
LONCCARICA-1,680935.09,5070578.64,-12.98,230.0,42.7644093898,3
LONCCARICA-1,680935.09,5070578.64,-17.98,235.0,42.8130061374,3
LONCCARICA-1,680935.09,5070578.64,-22.98,240.0,42.8617874656,3
LONCCARICA-1,680935.09,5070578.64,-27.98,245.0,42.9107539272,3
LONCCARICA-1,680935.09,5070578.64,-32.98,250.0,42.9599060736,3
LONCCARICA-1,680935.09,5070578.64,-37.98,255.0,43.009252291,3
LONCCARICA-1,680935.09,5070578.64,-42.98,260.0,43.058777726,3
LONCCARICA-1,680935.09,5070578.64,-47.98,265.0,43.1084904989,3
LONCCARICA-1,680935.09,5070578.64,-52.98,270.0,43.1583911565,3
LONCCARICA-1,680935.09,5070578.64,-57.98,275.0,43.2084802445,3
LONCCARICA-1,680935.09,5070578.64,-62.98,280.0,43.2587583074,3
LONCCARICA-1,680935.09,5070578.64,-67.98,285.0,43.3092258882,3
LONCCARICA-1,680935.09,5070578.64,-72.98,290.0,43.3598835285,3
LONCCARICA-1,680935.09,5070578.64,-77.98,295.0,43.4107317687,3
LONCCARICA-1,680935.09,5070578.64,-82.98,300.0,43.4617711477,3
LONCCARICA-1,680935.09,5070578.64,-87.98,305.0,43.5130022027,3
LONCCARICA-1,680935.09,5070578.64,-92.98,310.0,43.5644254697,3
LONCCARICA-1,680935.09,5070578.64,-97.98,315.0,43.616041483,3
LONCCARICA-1,680935.09,5070578.64,-102.98,320.0,43.6678507752,3
LONCCARICA-1,680935.09,5070578.64,-107.98,325.0,43.7198538775,3
LONCCARICA-1,680935.09,5070578.64,-112.98,330.0,43.7720513194,3
LONCCARICA-1,680935.09,5070578.64,-117.98,335.0,43.8244436285,3
LONCCARICA-1,680935.09,5070578.64,-122.98,340.0,43.8770313309,3
LONCCARICA-1,680935.09,5070578.64,-127.98,345.0,43.9298149507,3
LONCCARICA-1,680935.09,5070578.64,-132.98,350.0,43.9827950104,3
LONCCARICA-1,680935.09,5070578.64,-137.98,355.0,44.0359720304,3
LONCCARICA-1,680935.09,5070578.64,-142.98,360.0,44.0893465294,3
LONCCARICA-1,680935.09,5070578.64,-147.98,365.0,44.142919024,3
LONCCARICA-1,680935.09,5070578.64,-152.98,370.0,44.1966949931,3
LONCCARICA-1,680935.09,5070578.64,-157.98,375.0,44.2506650906,3
LONCCARICA-1,680935.09,5070578.64,-162.98,380.0,44.3048347224,3
LONCCARICA-1,680935.09,5070578.64,-167.98,385.0,44.3592043972,0
LONCCARICA-1,680935.09,5070578.64,-172.98,390.0,44.4965636316,0
