holeid,from,to,GM
REZOVACCKE_KRCCEVINE-1,0.0,10.672,Lonja
REZOVACCKE_KRCCEVINE-1,10.672,666.639,Bilogora
REZOVACCKE_KRCCEVINE-1,666.639,1346.245,KLOSTAR IVANIC
REZOVACCKE_KRCCEVINE-1,1346.245,1618.486,IVANIC GRAD
REZOVACCKE_KRCCEVINE-1,1618.486,3312.0,MOSLAVACKA GORA
REZOVACCKE_KRCCEVINE-2,0.0,1.986,
REZOVACCKE_KRCCEVINE-2,1.986,103.185,Lonja
REZOVACCKE_KRCCEVINE-2,103.185,875.984,Bilogora
REZOVACCKE_KRCCEVINE-2,875.984,1528.628,KLOSTAR IVANIC
REZOVACCKE_KRCCEVINE-2,1528.628,1861.307,IVANIC GRAD
REZOVACCKE_KRCCEVINE-2,1861.307,4555.0,MOSLAVACKA GORA
SUHOPOLJE-1,0.0,267.545,Lonja
SUHOPOLJE-1,267.545,740.88,Bilogora
SUHOPOLJE-1,740.88,2374.424,KLOSTAR IVANIC
SUHOPOLJE-1,2374.424,4462.049,IVANIC GRAD
SUHOPOLJE-1,4462.049,4987.5,MOSLAVACKA GORA
VIROVITICA-1,0.0,2.734,
VIROVITICA-1,2.734,175.725,Lonja
VIROVITICA-1,175.725,841.19,Bilogora
VIROVITICA-1,841.19,1491.297,KLOSTAR IVANIC
VIROVITICA-1,1491.297,1870.438,IVANIC GRAD
VIROVITICA-1,1870.438,2956.5,MOSLAVACKA GORA
VIROVITICA-3ALFA,0.0,93.713,Lonja
VIROVITICA-3ALFA,93.713,852.948,Bilogora
VIROVITICA-3ALFA,852.948,1502.65,KLOSTAR IVANIC
VIROVITICA-3ALFA,1502.65,1845.182,IVANIC GRAD
VIROVITICA-3ALFA,1845.182,4087.0,MOSLAVACKA GORA
LONCCARICA-1,0.0,7.422,
LONCCARICA-1,7.422,381.178,Lonja
LONCCARICA-1,381.178,396.736,Bilogora
LONCCARICA-1,396.736,1121.628,KLOSTAR IVANIC
LONCCARICA-1,1121.628,1693.246,IVANIC GRAD
LONCCARICA-1,1693.246,1765.0,MOSLAVACKA GORA
