holeid,x,y,z,MD,TVD,PERM,POR,GM_lthology
LONCCARICA-1_planed,680935.09,5070578.64,217.02,0.0,0.0,18.4566483114,14.378204292,
LONCCARICA-1_planed,680935.09,5070578.64,212.02,5.0,5.0,18.4438783281,14.3690569314,
LONCCARICA-1_planed,680935.09,5070578.64,207.02,10.0,10.0,18.4311083636,14.3599115839,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,202.02,15.0,15.0,18.4183384352,14.3507682631,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,197.02,20.0,20.0,18.4055685601,14.3416269827,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,192.02,25.0,25.0,18.3927987556,14.3324877563,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,187.02,30.0,30.0,18.3800290388,14.3233505975,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,182.02,35.0,35.0,18.3672594272,14.31421552,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,177.02,40.0,40.0,18.3544899378,14.3050825374,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,172.02,45.0,45.0,18.3417205882,14.2959516633,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,167.02,50.0,50.0,18.3289513954,14.2868229114,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,162.01,55.0,55.01,18.3161823768,14.2776962953,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,157.01,60.0,60.01,18.3034135498,14.2685718286,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,152.01,65.0,65.01,18.2906449315,14.259449525,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,147.01,70.0,70.01,18.2778765394,14.2503293981,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,142.01,75.0,75.01,18.2651083907,14.2412114616,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,137.01,80.0,80.01,18.2523405028,14.232095729,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,132.01,85.0,85.01,18.239572893,14.2229822141,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,127.01,90.0,90.01,18.2268055787,14.2138709303,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,122.01,95.0,95.01,18.2140385771,14.2047618915,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,117.01,100.0,100.01,18.2012719057,14.1956551111,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,112.01,105.0,105.01,18.1885055817,14.1865506029,Miscellaneous (Other) 2
LONCCARICA-1_planed,680935.09,5070578.64,107.01,110.0,110.01,18.1757396226,14.1774483804,Miscellaneous (Other) 2
