holeid,x,y,z,MD,TVD,PERM,POR,GM_lthology
SUHOPOLJE-1_planed,693135.92,5073660.97,113.73,0.0,0.0,20.566891566,32.2233372273,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,108.73,5.0,5.0,20.5344524163,32.2086639416,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,103.73,10.0,10.0,20.5019819911,32.1939721951,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,98.73,15.0,15.0,20.4694803858,32.1792620293,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,93.73,20.0,20.0,20.4369476964,32.1645334856,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,88.73,25.0,25.0,20.4043840194,32.1497866057,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,83.73,30.0,30.0,20.3717894515,32.1350214316,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,78.73,35.0,35.0,20.33916409,32.1202380055,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,73.73,40.0,40.0,20.3065080326,32.1054363697,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,68.73,45.0,45.0,20.2738213773,32.0906165669,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,63.73,50.0,50.0,20.2411042227,32.07577864,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,58.73,55.0,55.0,20.2083566677,32.0609226319,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,53.73,60.0,60.0,20.1755788116,32.046048586,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,48.73,65.0,65.0,20.1427707543,32.0311565458,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,43.73,70.0,70.0,20.1099325958,32.016246555,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,38.73,75.0,75.0,20.0770644367,32.0013186574,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,33.73,80.0,80.0,20.0441663781,31.9863728973,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,28.73,85.0,85.0,20.0112385213,31.9714093191,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,23.73,90.0,90.0,19.9782809682,31.9564279672,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,18.73,95.0,95.0,19.9452938209,31.9414288865,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,13.73,100.0,100.0,19.9122771821,31.926412122,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,8.73,105.0,105.0,19.8792311547,31.9113777189,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,3.73,110.0,110.0,19.8461558422,31.8963257227,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-1.27,115.0,115.0,19.8130513483,31.8812561789,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-6.27,120.0,120.0,19.7799177773,31.8661691334,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-11.27,125.0,125.0,19.7467552337,31.8510646323,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-16.27,130.0,130.0,19.7135638224,31.8359427218,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-21.27,135.0,135.0,19.680343649,31.8208034484,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-26.27,140.0,140.0,19.647094819,31.8056468587,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-31.27,145.0,145.0,19.6138174386,31.7904729997,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-36.27,150.0,150.0,19.5805116144,31.7752819184,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-41.27,155.0,155.0,19.5471774532,31.7600736621,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-46.27,160.0,160.0,19.5138150622,31.7448482782,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-51.27,165.0,165.0,19.4804245491,31.7296058145,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-56.27,170.0,170.0,19.4470060219,31.7143463189,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-61.27,175.0,175.0,19.4135595889,31.6990698393,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-66.27,180.0,180.0,19.380085359,31.6837764242,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-71.27,185.0,185.0,19.3465834412,31.6684661219,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-76.27,190.0,190.0,19.313053945,31.6531389811,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-81.27,195.0,195.0,19.2794969802,31.6377950507,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-86.27,200.0,200.0,19.245912657,31.6224343798,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-91.27,205.0,205.0,19.212301086,31.6070570176,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-96.27,210.0,210.0,19.178662378,31.5916630134,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-101.27,215.0,215.0,19.1449966442,31.5762524171,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-106.27,220.0,220.0,19.1113039964,31.5608252783,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-111.27,225.0,225.0,19.0775845464,31.5453816471,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-116.27,230.0,230.0,19.0438384066,31.5299215737,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-121.27,235.0,235.0,19.0100656894,31.5144451085,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-126.27,240.0,240.0,18.976266508,31.4989523019,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-131.27,245.0,245.0,18.9424409756,31.4834432048,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-136.27,250.0,250.0,18.9085892059,31.4679178681,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-141.27,255.0,255.0,18.8747113128,31.4523763428,Miscellaneous (Other) 1
SUHOPOLJE-1_planed,693135.92,5073660.97,-146.27,260.0,260.0,18.8408074107,31.4368186803,Miscellaneous (Other) 1
