holeid,x,y,z,MD,TVD,PERM,POR,GM_lthology
VIROVITICA-1_planed,685448.76,5073267.09,234.63,0.0,0.0,19.0739666006,15.804869161,
VIROVITICA-1_planed,685448.76,5073267.09,229.63,5.0,5.0,19.0417419623,15.779518629,Miscellaneous (Other) 2
VIROVITICA-1_planed,685448.76,5073267.09,224.63,10.0,10.0,19.0094895176,15.7541426137,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,219.63,15.0,15.0,18.977209379,15.7287411762,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,214.63,20.0,20.0,18.9449016597,15.7033143778,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,209.63,25.0,25.0,18.9125664733,15.6778622805,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,204.63,30.0,30.0,18.8802039341,15.6523849468,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,199.63,35.0,35.0,18.847814157,15.6268824396,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,194.63,40.0,40.0,18.8153972571,15.6013548225,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,189.63,45.0,45.0,18.7829533504,15.5758021595,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,184.63,50.0,50.0,18.7504825535,15.550224515,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,179.63,55.0,55.0,18.7179849831,15.5246219543,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,174.63,60.0,60.0,18.685460757,15.4989945427,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,169.63,65.0,65.0,18.6529099932,15.4733423465,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,164.63,70.0,70.0,18.6203328103,15.4476654323,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,159.63,75.0,75.0,18.5877293275,15.4219638673,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,154.63,80.0,80.0,18.5550996646,15.396237719,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,149.63,85.0,85.0,18.5224439419,15.3704870559,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,144.63,90.0,90.0,18.48976228,15.3447119465,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,139.63,95.0,95.0,18.4570548005,15.3189124603,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,134.63,100.0,100.0,18.4243216253,15.2930886671,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,129.63,105.0,105.0,18.3915628767,15.2672406372,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,124.63,110.0,110.0,18.3587786778,15.2413684417,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,119.63,115.0,115.0,18.3259691521,15.2154721519,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,114.63,120.0,120.0,18.2931344237,15.1895518399,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,109.63,125.0,125.0,18.2602746172,15.1636075783,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,104.63,130.0,130.0,18.2273898578,15.1376394402,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,99.63,135.0,135.0,18.194480271,15.1116474993,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,94.63,140.0,140.0,18.1615459833,15.0856318298,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,89.63,145.0,145.0,18.1285871212,15.0595925066,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,84.63,150.0,150.0,18.0956038122,15.0335296051,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,79.63,155.0,155.0,18.062596184,15.007443201,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,74.63,160.0,160.0,18.029564365,14.981333371,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,69.63,165.0,165.0,17.996508484,14.9552001922,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,64.63,170.0,170.0,17.9634286706,14.9290437421,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,59.63,175.0,175.0,17.9303250546,14.902864099,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,54.63,180.0,180.0,17.8971977666,14.8766613417,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,49.63,185.0,185.0,17.8640469375,14.8504355495,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,44.63,190.0,190.0,17.8308726989,14.8241868024,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,39.63,195.0,195.0,17.7976751828,14.797915181,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,34.63,200.0,200.0,17.7644545218,14.7716207664,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,29.63,205.0,205.0,17.731210849,14.7453036403,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,24.63,210.0,210.0,17.6979442982,14.718963885,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,19.63,215.0,215.0,17.6646550033,14.6926015834,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,14.63,220.0,220.0,17.6313430991,14.666216819,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,9.63,225.0,225.0,17.5980087208,14.639809676,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,4.63,230.0,230.0,17.5646520042,14.613380239,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-0.37,235.0,235.0,17.5312730853,14.5869285933,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-5.37,240.0,240.0,17.4978721011,14.5604548249,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-10.37,245.0,245.0,17.4644491887,14.5339590203,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-15.37,250.0,250.0,17.4310044859,14.5074412666,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-20.37,255.0,255.0,17.3975381311,14.4809016516,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-25.37,260.0,260.0,17.364050263,14.4543402638,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-30.37,265.0,265.0,17.330541021,14.427757192,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-35.37,270.0,270.0,17.2970105449,14.401152526,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-40.37,275.0,275.0,17.2634589751,14.374526356,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-45.37,280.0,280.0,17.2298864523,14.3478787728,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-50.37,285.0,285.0,17.196293118,14.3212098681,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-55.37,290.0,290.0,17.1626791141,14.294519734,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-60.37,295.0,295.0,17.1290445828,14.2678084632,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-65.37,300.0,300.0,17.0953896672,14.2410761493,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-70.37,305.0,305.0,17.0617145105,14.2143228863,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-75.37,310.0,310.0,17.0280192567,14.1875487691,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-80.37,315.0,315.0,16.9943040501,14.1607538929,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-85.37,320.0,320.0,16.9605690357,14.1339383539,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-90.37,325.0,325.0,16.9268143588,14.1071022487,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-95.37,330.0,330.0,16.8930401654,14.0802456749,Argillites and Marls (Clay-rich) 1
VIROVITICA-1_planed,685448.76,5073267.09,-100.37,335.0,335.0,16.8592466017,14.0533687303,Argillites and Marls (Clay-rich) 1
