holeid,x,y,z,MD,TVD,PERM,POR,GM_lthology
VIROVITICA-3ALFA_planed,686218.75,5073539.22,183.15,0.0,0.0,20.0642405297,17.5754059301,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,178.15,5.0,5.0,20.0263801664,17.5468075639,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,173.15,10.0,10.0,19.9884764951,17.5181685804,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,168.15,15.0,15.0,19.9505296835,17.4894890252,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,163.15,20.0,20.0,19.9125399004,17.4607689446,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,158.15,25.0,25.0,19.8745073155,17.4320083853,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,153.15,30.0,30.0,19.8364320998,17.4032073945,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,148.15,35.0,35.0,19.798314425,17.3743660201,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,143.15,40.0,40.0,19.7601544639,17.3454843102,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,138.15,45.0,45.0,19.7219523904,17.3165623139,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,133.15,50.0,50.0,19.6837083793,17.2876000806,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,128.15,55.0,55.0,19.6454226063,17.2585976601,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,123.15,60.0,60.0,19.6070952483,17.2295551029,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,118.15,65.0,65.0,19.5687264832,17.2004724602,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,113.15,70.0,70.0,19.5303164896,17.1713497834,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,108.15,75.0,75.0,19.4918654473,17.1421871246,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,103.15,80.0,80.0,19.4533735371,17.1129845365,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,98.15,85.0,85.0,19.4148409406,17.0837420722,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,93.15,90.0,90.0,19.3762678406,17.0544597854,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,88.15,95.0,95.0,19.3376544206,17.0251377303,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,83.15,100.0,100.0,19.2990008652,16.9957759618,Argillites and Marls (Clay-rich) 1
VIROVITICA-3ALFA_planed,686218.75,5073539.22,78.15,105.0,105.0,19.26030736,16.966374535,Argillites and Marls (Clay-rich) 1
