holeid,x,y,z,TVD,PERM,POR,GM_lthology
LONCCARICA-1_planed,680935.09,5070578.64,217.02,0.0,18.4566483114,14.378204292,9
LONCCARICA-1_planed,680935.09,5070578.64,212.02,5.0,18.4438783281,14.3690569314,9
LONCCARICA-1_planed,680935.09,5070578.64,207.02,10.0,18.4311083636,14.3599115839,5
LONCCARICA-1_planed,680935.09,5070578.64,202.02,15.0,18.4183384352,14.3507682631,5
LONCCARICA-1_planed,680935.09,5070578.64,197.02,20.0,18.4055685601,14.3416269827,5
LONCCARICA-1_planed,680935.09,5070578.64,192.02,25.0,18.3927987556,14.3324877563,5
LONCCARICA-1_planed,680935.09,5070578.64,187.02,30.0,18.3800290388,14.3233505975,5
LONCCARICA-1_planed,680935.09,5070578.64,182.02,35.0,18.3672594272,14.31421552,5
LONCCARICA-1_planed,680935.09,5070578.64,177.02,40.0,18.3544899378,14.3050825374,5
LONCCARICA-1_planed,680935.09,5070578.64,172.02,45.0,18.3417205882,14.2959516633,5
LONCCARICA-1_planed,680935.09,5070578.64,167.02,50.0,18.3289513954,14.2868229114,5
LONCCARICA-1_planed,680935.09,5070578.64,162.01,55.01,18.3161823768,14.2776962953,5
LONCCARICA-1_planed,680935.09,5070578.64,157.01,60.01,18.3034135498,14.2685718286,5
LONCCARICA-1_planed,680935.09,5070578.64,152.01,65.01,18.2906449315,14.259449525,5
LONCCARICA-1_planed,680935.09,5070578.64,147.01,70.01,18.2778765394,14.2503293981,5
LONCCARICA-1_planed,680935.09,5070578.64,142.01,75.01,18.2651083907,14.2412114616,5
LONCCARICA-1_planed,680935.09,5070578.64,137.01,80.01,18.2523405028,14.232095729,5
LONCCARICA-1_planed,680935.09,5070578.64,132.01,85.01,18.239572893,14.2229822141,5
LONCCARICA-1_planed,680935.09,5070578.64,127.01,90.01,18.2268055787,14.2138709303,5
LONCCARICA-1_planed,680935.09,5070578.64,122.01,95.01,18.2140385771,14.2047618915,5
LONCCARICA-1_planed,680935.09,5070578.64,117.01,100.01,18.2012719057,14.1956551111,5
LONCCARICA-1_planed,680935.09,5070578.64,112.01,105.01,18.1885055817,14.1865506029,5
LONCCARICA-1_planed,680935.09,5070578.64,107.01,110.01,18.1757396226,14.1774483804,5
LONCCARICA-1_planed,680935.09,5070578.64,102.01,115.01,18.1629740458,14.1683484573,5
LONCCARICA-1_planed,680935.09,5070578.64,97.01,120.01,18.1502088686,14.1592508471,5
LONCCARICA-1_planed,680935.09,5070578.64,92.01,125.01,18.1374441083,14.1501555636,5
LONCCARICA-1_planed,680935.09,5070578.64,87.01,130.01,18.1246797824,14.1410626204,5
LONCCARICA-1_planed,680935.09,5070578.64,82.01,135.01,18.1119159083,14.131972031,5
LONCCARICA-1_planed,680935.09,5070578.64,77.01,140.01,18.0991525033,14.122883809,5
LONCCARICA-1_planed,680935.09,5070578.64,72.01,145.01,18.0863895849,14.1137979682,5
LONCCARICA-1_planed,680935.09,5070578.64,67.01,150.01,18.0736271704,14.1047145221,5
LONCCARICA-1_planed,680935.09,5070578.64,62.01,155.01,18.0608652773,14.0956334842,5
LONCCARICA-1_planed,680935.09,5070578.64,57.01,160.01,18.048103923,14.0865548684,5
LONCCARICA-1_planed,680935.09,5070578.64,52.01,165.01,18.0353431249,14.077478688,5
LONCCARICA-1_planed,680935.09,5070578.64,47.01,170.01,18.0225829004,14.0684049568,5
LONCCARICA-1_planed,680935.09,5070578.64,42.01,175.01,18.009823267,14.0593336883,5
LONCCARICA-1_planed,680935.09,5070578.64,37.01,180.01,17.9970642421,14.0502648961,5
LONCCARICA-1_planed,680935.09,5070578.64,32.01,185.01,17.9843058431,14.0411985939,5
LONCCARICA-1_planed,680935.09,5070578.64,27.01,190.01,17.9715480874,14.0321347952,5
LONCCARICA-1_planed,680935.09,5070578.64,22.01,195.01,17.9587909926,14.0230735136,5
LONCCARICA-1_planed,680935.09,5070578.64,17.01,200.01,17.9460345761,14.0140147628,5
LONCCARICA-1_planed,680935.09,5070578.64,12.01,205.01,17.9332788553,14.0049585562,5
LONCCARICA-1_planed,680935.09,5070578.64,7.01,210.01,17.9205238476,13.9959049074,5
LONCCARICA-1_planed,680935.09,5070578.64,2.01,215.01,17.9077695706,13.9868538302,5
LONCCARICA-1_planed,680935.09,5070578.64,-2.99,220.01,17.8950160417,13.9778053379,5
LONCCARICA-1_planed,680935.09,5070578.64,-7.99,225.01,17.8822632783,13.9687594443,5
