Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,87.0
1.0,0.0,0.0,81.0
2.0,0.0,0.0,80.0
3.0,0.0,0.0,126.0
4.0,0.0,0.0,74.0
5.0,0.0,0.0,134.0
6.0,0.0,0.0,90.0
7.0,0.0,0.0,81.0
8.0,0.0,0.0,88.0
9.0,0.0,0.0,105.0
10.0,0.0,0.0,86.0
11.0,0.0,0.0,97.0
12.0,0.0,0.0,92.0
13.0,0.0,0.0,92.0
14.0,0.0,0.0,79.0
15.0,0.0,0.0,106.0
16.0,0.0,0.0,85.0
17.0,0.0,0.0,85.0
18.0,0.0,0.0,120.0
19.0,0.0,0.0,120.0
20.0,0.0,0.0,102.0
21.0,0.0,0.0,108.0
22.0,6.421592712402344,1065.984375,86.0
23.0,7.705913543701172,1279.181640625,121.0
24.0,47.67880630493164,4263.9375,121.0
25.0,60.55939483642578,5543.1171875,113.0
26.0,34.76077651977539,3837.54296875,121.0
27.0,15.496011734008789,1932.74609375,121.0
28.0,28.395307540893555,3221.244140625,154.0
29.0,16.75225830078125,1492.376953125,128.0
30.0,12.918004035949707,1717.99609375,109.0
31.0,15.524072647094727,2576.99609375,86.0
32.0,11.624341011047363,1503.248046875,86.0
33.0,7.715267181396484,1065.984375,120.0
34.0,9.01828384399414,852.787109375,93.0
35.0,11.643048286437988,1932.74609375,117.0
36.0,27.647401809692383,2362.24609375,111.0
37.0,36.20824432373047,4082.478515625,116.0
38.0,37.76559066772461,4536.0859375,95.0
39.0,45.87568283081055,4294.9921875,105.0
40.0,100.54670715332031,7516.234375,114.0
41.0,198.42507934570312,9234.23046875,118.0
42.0,181.9846954345703,7086.734375,114.0
43.0,97.38658905029297,2885.2734375,116.0
44.0,312.8908996582031,6657.23828125,97.0
45.0,647.5052490234375,7730.984375,97.0
46.0,1476.44091796875,7629.1171875,97.0
47.0,1852.683349609375,9681.8125,117.0
48.0,2071.6064453125,12195.75,117.0
49.0,5700.1240234375,17824.5546875,123.0
50.0,8079.09716796875,19623.109375,123.0
51.0,6301.61083984375,15878.16796875,123.0
52.0,2924.75537109375,12586.3515625,123.0
53.0,2693.835693359375,13524.0625,123.0
54.0,2776.284423828125,16035.67578125,123.0
55.0,3305.911865234375,13865.171875,123.0
56.0,3557.957763671875,20253.69921875,123.0
57.0,5053.59765625,28141.984375,123.0
58.0,4739.3857421875,18974.51953125,123.0
59.0,3273.171630859375,21649.25,123.0
60.0,4833.244140625,18761.32421875,123.0
61.0,4027.455078125,18201.8046875,114.0
62.0,4022.146728515625,16189.71875,113.0
63.0,4294.3271484375,19113.96875,113.0
64.0,3513.765869140625,16744.83203125,113.0
65.0,3700.523681640625,15491.5546875,113.0
66.0,4291.966796875,16155.8515625,114.0
67.0,5432.94384765625,17976.23046875,134.0
68.0,4995.00634765625,15754.9609375,114.0
69.0,3271.38330078125,11576.30859375,81.0
70.0,4570.8115234375,13159.0703125,81.0
71.0,4875.49072265625,14580.99609375,81.0
72.0,5049.60986328125,18191.03125,120.0
73.0,4518.6279296875,17824.3828125,114.0
74.0,3969.38818359375,15796.7890625,117.0
75.0,7305.4208984375,17122.98046875,117.0
76.0,6994.97802734375,23203.1953125,117.0
77.0,5469.0986328125,22935.55078125,117.0
78.0,6091.7392578125,27948.16796875,120.0
79.0,5402.529296875,22115.50390625,120.0
80.0,5767.46337890625,20316.53515625,120.0
81.0,6428.75830078125,20320.08984375,120.0
82.0,6537.41357421875,24788.80859375,120.0
83.0,5177.3759765625,24059.7265625,120.0
84.0,6425.66845703125,20944.87890625,120.0
85.0,8056.4013671875,19527.16015625,92.0
86.0,7234.8291015625,16197.4921875,92.0
87.0,4994.8564453125,19935.375,92.0
88.0,5604.7783203125,16079.45703125,92.0
89.0,6043.48095703125,21786.66015625,93.0
90.0,5738.18505859375,19936.8203125,110.0
91.0,6959.93896484375,19649.546875,110.0
92.0,8318.3310546875,25254.70703125,93.0
93.0,7014.87744140625,27102.61328125,93.0
94.0,4578.96826171875,20931.04296875,110.0
95.0,5343.51708984375,22449.8046875,94.0
96.0,5767.130859375,18772.35546875,103.0
97.0,5199.10302734375,22391.125,103.0
98.0,4484.81982421875,17559.94921875,107.0
99.0,4629.5390625,17712.69140625,124.0
100.0,5772.86669921875,16284.453125,124.0
101.0,5234.37255859375,19792.91015625,124.0
102.0,5105.21337890625,22179.390625,108.0
103.0,5136.84765625,15548.44140625,120.0
104.0,4904.48291015625,17643.96484375,108.0
105.0,5572.64599609375,15861.54296875,108.0
106.0,7094.36669921875,21887.66796875,108.0
107.0,7467.4736328125,23275.30859375,108.0
108.0,6995.7890625,21437.78515625,108.0
109.0,6945.49072265625,29670.375,115.0
110.0,8828.3046875,26947.81640625,77.0
111.0,9001.0771484375,23631.16015625,77.0
112.0,8782.5654296875,22736.44140625,95.0
113.0,8646.4619140625,24223.66796875,108.0
114.0,8308.12109375,26407.7109375,108.0
115.0,7187.8349609375,24564.67578125,108.0
116.0,7671.54833984375,18904.25,97.0
117.0,6270.75390625,20909.40625,107.0
118.0,5353.91455078125,19875.83203125,88.0
119.0,5698.0537109375,19461.75390625,88.0
120.0,5337.9931640625,19357.8515625,88.0
121.0,4727.33154296875,18487.8359375,88.0
122.0,4317.31640625,14355.26171875,88.0
123.0,4628.3623046875,14421.80859375,88.0
124.0,5849.0751953125,17452.44140625,98.0
125.0,6246.77880859375,20905.640625,88.0
126.0,4904.3447265625,19571.23828125,74.0
127.0,4706.1240234375,15056.73828125,74.0
128.0,5883.830078125,20183.1328125,102.0
129.0,6229.5322265625,23352.046875,89.0
130.0,5985.2353515625,24241.6484375,131.0
131.0,5871.544921875,26165.18359375,131.0
132.0,5759.2265625,20682.953125,131.0
133.0,6217.4580078125,19246.68359375,116.0
134.0,7052.43994140625,18018.171875,74.0
135.0,6639.48095703125,17592.94921875,106.0
136.0,6306.08154296875,16755.1875,106.0
137.0,6703.60791015625,19469.6171875,114.0
138.0,5938.43505859375,22826.4453125,113.0
139.0,5601.62109375,19466.54296875,113.0
140.0,7328.1474609375,23588.18359375,113.0
141.0,7670.68017578125,22891.15234375,113.0
142.0,6006.5361328125,20202.359375,113.0
143.0,5540.05322265625,16426.140625,113.0
144.0,7195.724609375,19654.421875,113.0
145.0,8027.365234375,22129.12109375,113.0
146.0,7073.24560546875,19424.40234375,113.0
147.0,6932.46923828125,18293.62109375,121.0
148.0,7864.947265625,23458.265625,121.0
149.0,8402.75,25133.85546875,113.0
150.0,8454.6005859375,22246.42578125,113.0
151.0,9819.0537109375,25353.65234375,113.0
152.0,11856.724609375,27280.51171875,113.0
153.0,10758.0048828125,30777.265625,113.0
154.0,8077.7333984375,23763.71484375,113.0
155.0,8149.12939453125,26879.8671875,122.0
156.0,10298.9619140625,30740.984375,122.0
157.0,10262.3583984375,26937.02734375,121.0
158.0,7650.53466796875,26046.546875,122.0
159.0,7070.9345703125,20344.23046875,135.0
160.0,7305.216796875,22613.41796875,148.0
161.0,7305.12060546875,19786.7421875,148.0
162.0,6741.9208984375,19959.41015625,123.0
163.0,6295.89892578125,25322.07421875,148.0
164.0,6893.658203125,24315.26953125,122.0
165.0,7586.59423828125,25296.0,123.0
166.0,7833.5205078125,26233.21484375,
167.0,9622.3330078125,25520.45703125,
168.0,10017.119140625,25568.890625,
169.0,8545.5263671875,27642.41015625,
170.0,7018.56494140625,25770.03125,
171.0,7804.57177734375,26337.00390625,
172.0,8222.484375,26556.4765625,
173.0,6946.2734375,24257.1328125,
174.0,5210.37744140625,22373.0859375,
175.0,6966.328125,24331.625,
176.0,9165.265625,29280.57421875,
177.0,9436.72265625,29190.17578125,
178.0,7530.02880859375,24963.65234375,
179.0,6101.912109375,21195.5546875,
180.0,6770.5224609375,19369.86328125,
181.0,7872.7333984375,21458.8828125,
182.0,8518.330078125,19928.2578125,
183.0,8102.5263671875,24624.9375,
184.0,8326.310546875,25267.328125,
185.0,7181.28515625,26385.44140625,
186.0,7975.42041015625,31644.1953125,
187.0,11688.6923828125,29861.421875,
188.0,12000.3818359375,30174.86328125,
189.0,9386.578125,28422.66796875,
190.0,8962.42578125,25336.72265625,
191.0,10488.255859375,27045.66796875,
192.0,9682.3935546875,21543.11328125,
193.0,8946.978515625,23257.70703125,
194.0,10330.458984375,30251.109375,
195.0,10114.4033203125,32473.87890625,
196.0,8270.98046875,27422.38671875,
197.0,7539.17626953125,23330.64453125,
198.0,8775.2138671875,19742.58203125,
199.0,9294.775390625,26414.375,
200.0,9418.15625,30650.640625,
201.0,9681.3603515625,30875.1640625,
202.0,9466.0244140625,32733.60546875,
203.0,8625.3701171875,31414.0078125,
204.0,7795.41015625,24233.203125,
205.0,8293.8466796875,24785.57421875,
206.0,8645.0029296875,23740.51953125,
207.0,7816.9970703125,23740.51953125,
208.0,7987.1318359375,19381.48828125,
209.0,8161.20703125,24205.72265625,
210.0,7628.119140625,23663.94140625,
211.0,6799.20458984375,21162.875,
212.0,6197.587890625,19685.23046875,
213.0,6076.33154296875,19442.203125,
214.0,5902.83642578125,22147.3984375,
215.0,6952.31982421875,22025.828125,
216.0,8232.1533203125,26630.85546875,
217.0,8396.9091796875,23257.70703125,
218.0,6771.9970703125,18870.140625,
219.0,6212.4580078125,21740.04296875,
220.0,8751.7412109375,27588.1875,
221.0,9057.0791015625,28277.890625,
222.0,7937.216796875,25959.26171875,
223.0,7265.0888671875,23773.125,
224.0,7845.75439453125,31115.2734375,
225.0,7909.6220703125,27114.73828125,
226.0,6820.4150390625,17352.171875,
227.0,6247.10595703125,21223.98046875,
228.0,6557.736328125,23102.20703125,
229.0,7237.091796875,22861.73046875,
230.0,7358.10595703125,25127.3046875,
231.0,6811.50439453125,21754.421875,
232.0,7265.0849609375,24048.71875,
233.0,7991.35791015625,22701.9921875,
234.0,7967.587890625,20388.75,
235.0,7688.181640625,23458.265625,
236.0,7912.8681640625,27018.89453125,
237.0,7344.03515625,25843.890625,
