Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,79.0
1.0,6.070926189422607,6532.31640625,108.0
2.0,3.844918966293335,4137.1328125,121.0
3.0,0.5565017461776733,598.7958984375,121.0
4.0,3.187237024307251,3429.467041015625,113.0
5.0,2.984872817993164,3211.72314453125,113.0
6.0,1.3153679370880127,1415.3359375,113.0
7.0,0.3035462200641632,326.61572265625,96.0
8.0,7.36696720123291,2456.65087890625,96.0
9.0,7.7832465171813965,2511.33837890625,114.0
10.0,19.620037078857422,2531.8037109375,114.0
11.0,82.47571563720703,4308.19921875,114.0
12.0,194.6881561279297,4296.40234375,69.0
13.0,286.1806640625,3940.8779296875,69.0
14.0,517.6276245117188,5013.01953125,139.0
15.0,595.0518798828125,4134.828125,139.0
16.0,623.5646362304688,3992.280029296875,62.0
17.0,672.30810546875,4635.87109375,62.0
18.0,775.0322875976562,4357.953125,66.0
19.0,865.407958984375,4789.1640625,66.0
20.0,966.268310546875,4686.7109375,66.0
21.0,1074.205810546875,4920.80859375,66.0
22.0,1041.6207275390625,4684.23046875,88.0
23.0,1183.1480712890625,5716.14453125,88.0
24.0,1285.1053466796875,5034.890625,88.0
25.0,1344.7415771484375,5177.421875,116.0
26.0,1389.0899658203125,5062.12890625,116.0
27.0,1368.8568115234375,5604.56640625,116.0
28.0,1467.301025390625,5130.734375,116.0
29.0,1570.629638671875,5337.69921875,116.0
30.0,1573.2193603515625,5504.95703125,87.0
31.0,1582.592041015625,5633.63671875,87.0
32.0,1669.3294677734375,5487.01953125,68.0
33.0,1790.9979248046875,5771.3984375,80.0
34.0,1768.4326171875,5201.6171875,80.0
35.0,1750.1658935546875,5197.0703125,67.0
36.0,1760.6973876953125,5444.27734375,145.0
37.0,1741.7052001953125,5630.40625,96.0
38.0,1753.381103515625,5369.07421875,96.0
39.0,1730.6416015625,5486.5859375,69.0
40.0,1721.727783203125,5555.25390625,80.0
41.0,1806.01220703125,5343.97265625,80.0
42.0,1825.543701171875,5399.60546875,80.0
43.0,1757.311279296875,5980.64453125,80.0
44.0,1656.009521484375,6366.96484375,69.0
45.0,1669.08642578125,7229.75,69.0
46.0,1767.6383056640625,8157.09375,69.0
47.0,1844.3956298828125,9864.390625,84.0
48.0,1849.474609375,7695.7265625,84.0
49.0,1801.66650390625,8872.87109375,79.0
50.0,1745.6126708984375,8412.00390625,79.0
51.0,1742.1820068359375,7696.08984375,79.0
52.0,1727.4571533203125,7021.09765625,79.0
53.0,1792.5076904296875,7909.6796875,79.0
54.0,1841.532958984375,7651.671875,79.0
55.0,1813.24853515625,6682.453125,121.0
56.0,1686.8299560546875,6420.75,121.0
57.0,1606.24169921875,6319.84375,121.0
58.0,1690.27880859375,7119.4921875,121.0
59.0,1760.3638916015625,9520.3125,72.0
60.0,1754.7178955078125,13196.47265625,64.0
61.0,1721.3077392578125,9897.35546875,75.0
62.0,1735.10302734375,6283.078125,75.0
63.0,1832.4468994140625,8200.6640625,75.0
64.0,1820.8623046875,10745.69921875,75.0
65.0,1764.57763671875,9989.8515625,73.0
66.0,1772.5869140625,9942.28515625,90.0
67.0,1801.0994873046875,10892.6484375,77.0
68.0,1810.6995849609375,8946.01171875,90.0
69.0,1779.2025146484375,8393.6328125,109.0
70.0,1792.9735107421875,9851.203125,96.0
71.0,1809.7906494140625,10169.19921875,96.0
72.0,1828.830078125,10025.8984375,96.0
73.0,1747.7086181640625,9619.44140625,111.0
74.0,1679.467041015625,8625.10546875,87.0
75.0,1772.1595458984375,7611.7109375,87.0
76.0,1897.4013671875,7061.8359375,67.0
77.0,1887.583740234375,7234.53125,67.0
78.0,1800.793212890625,7893.57421875,67.0
79.0,1780.86669921875,9494.875,67.0
80.0,1741.0450439453125,7520.6328125,67.0
81.0,1653.3173828125,7159.91796875,74.0
82.0,1666.9974365234375,5931.8203125,74.0
83.0,1847.455078125,6432.3828125,74.0
84.0,1924.1109619140625,6548.7578125,113.0
85.0,1834.8125,5981.921875,113.0
86.0,1621.761962890625,6488.99609375,113.0
87.0,1515.7750244140625,5912.18359375,74.0
88.0,1590.0118408203125,6292.8515625,74.0
89.0,1620.1697998046875,6255.453125,97.0
90.0,1644.7247314453125,6112.5078125,120.0
91.0,1658.449462890625,6044.3359375,120.0
92.0,1655.9876708984375,6268.5546875,120.0
93.0,1644.381591796875,5885.078125,120.0
94.0,1642.453125,5764.08203125,93.0
95.0,1671.243896484375,5812.05859375,93.0
96.0,1709.3782958984375,6305.3125,93.0
97.0,1739.574462890625,5690.16015625,62.0
98.0,1796.92431640625,6585.2890625,62.0
99.0,1733.5985107421875,7557.00390625,88.0
100.0,1762.2025146484375,7405.50390625,88.0
101.0,1860.5240478515625,7088.140625,71.0
102.0,1846.388671875,6677.921875,71.0
103.0,1800.6328125,7092.765625,71.0
104.0,1726.4739990234375,7443.6875,71.0
105.0,1678.4078369140625,7251.65625,94.0
106.0,1696.15625,6976.890625,94.0
107.0,1734.6624755859375,6976.890625,94.0
108.0,1741.1949462890625,6899.02734375,88.0
109.0,1654.641845703125,6142.09375,88.0
110.0,1615.4683837890625,6379.58203125,116.0
111.0,1645.91796875,7112.91796875,116.0
112.0,1655.106689453125,8129.046875,71.0
113.0,1704.7342529296875,6316.52734375,73.0
114.0,1702.810546875,6071.48046875,97.0
115.0,1689.692138671875,6504.5,73.0
116.0,1748.3770751953125,6803.6328125,73.0
117.0,1752.2576904296875,7870.13671875,73.0
118.0,1791.11669921875,8698.01171875,109.0
119.0,1739.639404296875,9319.296875,92.0
120.0,1673.2152099609375,7183.07421875,64.0
121.0,1642.0926513671875,6561.01953125,64.0
122.0,1706.0743408203125,7255.71875,92.0
123.0,1790.78173828125,8983.265625,97.0
124.0,1764.872802734375,8406.94921875,97.0
125.0,1643.4991455078125,7755.546875,97.0
126.0,1541.0020751953125,6607.1640625,80.0
127.0,1581.20849609375,6782.10546875,80.0
128.0,1676.091064453125,6816.48828125,94.0
129.0,1598.741943359375,7787.44921875,94.0
130.0,1471.92431640625,7087.796875,94.0
131.0,1453.7047119140625,6113.61328125,94.0
132.0,1508.0142822265625,5754.2421875,94.0
133.0,1539.7655029296875,6528.45703125,94.0
134.0,1511.7794189453125,6662.703125,73.0
135.0,1483.5869140625,6841.5703125,73.0
136.0,1453.3583984375,6632.58203125,73.0
137.0,1359.258544921875,5545.87890625,73.0
138.0,1379.118408203125,6900.4609375,95.0
139.0,1443.07080078125,9408.65625,63.0
140.0,1492.0152587890625,9728.6796875,77.0
141.0,1428.1324462890625,7783.53125,77.0
142.0,1313.3438720703125,7582.8828125,77.0
143.0,1426.539306640625,6746.625,75.0
144.0,1474.687255859375,5965.16015625,72.0
145.0,1461.0386962890625,6602.85546875,83.0
146.0,1453.9302978515625,6016.48046875,72.0
147.0,1408.2103271484375,6137.76953125,79.0
148.0,1430.1016845703125,5600.9765625,79.0
149.0,1458.8719482421875,5980.31640625,79.0
150.0,1503.590576171875,5674.75390625,79.0
151.0,1502.8507080078125,6649.76953125,79.0
152.0,1398.60693359375,6062.08203125,79.0
153.0,1361.885986328125,6083.7578125,79.0
154.0,1455.6356201171875,5951.69140625,73.0
155.0,1526.12109375,6279.8984375,93.0
156.0,1506.515625,6251.24609375,61.0
157.0,1422.2757568359375,6449.73828125,61.0
158.0,1475.0919189453125,5680.02734375,72.0
159.0,1515.60693359375,5554.171875,75.0
160.0,1518.62646484375,5603.32421875,77.0
161.0,1470.1903076171875,5684.58203125,77.0
162.0,1441.4202880859375,5477.61328125,74.0
163.0,1558.7369384765625,5413.99609375,98.0
164.0,1641.9490966796875,5598.390625,74.0
165.0,1625.57470703125,6201.734375,69.0
166.0,1562.8785400390625,6107.05078125,69.0
167.0,1648.1630859375,5585.69140625,69.0
168.0,1770.645751953125,5954.03515625,68.0
169.0,1747.591064453125,6919.70703125,68.0
170.0,1673.140625,6301.71875,68.0
171.0,1707.2896728515625,7521.171875,68.0
172.0,1747.4561767578125,6890.7578125,101.0
173.0,1837.47412109375,6371.45703125,86.0
174.0,1822.5030517578125,6547.33984375,86.0
175.0,1740.52685546875,6376.1875,104.0
176.0,1670.031005859375,6912.71875,104.0
177.0,1674.94482421875,7655.99609375,104.0
178.0,1767.71630859375,7655.99609375,91.0
179.0,1740.4151611328125,6185.96875,91.0
180.0,1685.1412353515625,5864.41796875,91.0
181.0,1733.499755859375,7733.33984375,91.0
182.0,1824.205322265625,8256.6484375,91.0
183.0,1872.96435546875,7016.81640625,91.0
184.0,1864.9862060546875,7647.171875,91.0
185.0,1818.8592529296875,8487.1953125,105.0
186.0,1892.165283203125,7748.09375,95.0
187.0,1959.0941162109375,8231.390625,94.0
188.0,2035.5311279296875,8258.0859375,94.0
189.0,1974.8345947265625,7587.19140625,76.0
190.0,1884.430419921875,6636.5625,98.0
191.0,1868.9019775390625,6422.83984375,98.0
192.0,1838.893798828125,6849.20703125,99.0
193.0,1958.135498046875,6877.83203125,79.0
194.0,1896.5521240234375,7179.95703125,79.0
195.0,1819.8839111328125,6789.37890625,81.0
196.0,1819.4984130859375,6656.6015625,79.0
197.0,1808.6268310546875,5906.46484375,79.0
198.0,1851.230224609375,6919.0546875,79.0
199.0,1833.1749267578125,7054.77734375,101.0
200.0,1766.448974609375,6287.953125,101.0
201.0,1690.39013671875,6206.01953125,101.0
202.0,1685.1578369140625,6129.17578125,101.0
203.0,1807.4056396484375,6868.90234375,101.0
204.0,1899.001220703125,7325.35546875,101.0
205.0,1861.9329833984375,7401.35546875,66.0
206.0,1727.76171875,6494.234375,96.0
207.0,1667.749267578125,6138.61328125,96.0
208.0,1756.3077392578125,8065.83203125,87.0
209.0,1902.3560791015625,8159.421875,87.0
210.0,1914.9295654296875,7447.35546875,89.0
211.0,1775.73486328125,6609.9765625,65.0
212.0,1597.986572265625,6463.34765625,88.0
213.0,1546.666259765625,6601.31640625,88.0
214.0,1677.3377685546875,6667.3671875,88.0
215.0,1676.6380615234375,6714.65234375,88.0
216.0,1567.0133056640625,6771.765625,88.0
217.0,1559.317626953125,6163.22265625,88.0
218.0,1683.8114013671875,7065.09765625,88.0
219.0,1660.1243896484375,6623.52734375,85.0
220.0,1553.0931396484375,6642.86328125,128.0
221.0,1506.8297119140625,6279.21875,85.0
222.0,1557.8018798828125,8185.00390625,89.0
223.0,1683.8289794921875,8056.36328125,89.0
224.0,1756.048828125,7656.05859375,62.0
225.0,1635.6785888671875,7207.58984375,67.0
226.0,1403.6708984375,7340.49609375,77.0
227.0,1388.96875,5856.36328125,77.0
228.0,1521.42626953125,6371.03125,77.0
229.0,1576.26708984375,5759.41015625,78.0
230.0,1553.2611083984375,6028.2890625,78.0
231.0,1482.192138671875,5885.2578125,78.0
232.0,1435.036865234375,5640.07421875,98.0
233.0,1432.4197998046875,5826.88671875,98.0
234.0,1481.7877197265625,5477.9609375,98.0
235.0,1515.56689453125,6212.28125,96.0
236.0,1552.284423828125,6027.69140625,91.0
237.0,1515.4302978515625,5401.71875,91.0
238.0,1478.644775390625,5852.0859375,91.0
239.0,1473.588623046875,5768.73828125,87.0
240.0,1514.5826416015625,6541.06640625,75.0
241.0,1565.9114990234375,6446.49609375,75.0
242.0,1509.2000732421875,6446.49609375,75.0
243.0,1469.236328125,5375.953125,95.0
244.0,1463.6329345703125,5671.78515625,66.0
245.0,1530.31982421875,5378.57421875,78.0
246.0,1555.979736328125,6704.94921875,101.0
247.0,1561.143310546875,8116.51953125,101.0
248.0,1661.4769287109375,7443.87890625,94.0
249.0,1698.6663818359375,7876.625,94.0
250.0,1644.9417724609375,6735.33984375,94.0
251.0,1584.528076171875,6862.31640625,95.0
252.0,1511.2923583984375,7217.65234375,60.0
253.0,1540.86279296875,7480.4296875,60.0
254.0,1574.972412109375,6970.3984375,63.0
255.0,1563.7685546875,6039.26953125,90.0
256.0,1575.550048828125,6262.94140625,84.0
257.0,1560.7197265625,5386.12890625,90.0
258.0,1572.9945068359375,6962.57421875,90.0
259.0,1618.6478271484375,7197.4453125,65.0
260.0,1600.6220703125,6751.34765625,65.0
261.0,1534.530517578125,5851.16796875,65.0
262.0,1507.4508056640625,5530.22265625,91.0
263.0,1616.412109375,5810.3125,68.0
264.0,1671.4652099609375,5404.3046875,80.0
265.0,1570.393310546875,6338.8828125,80.0
266.0,1508.134765625,6029.66796875,86.0
267.0,1467.8326416015625,6326.59765625,86.0
268.0,1502.04150390625,7486.265625,86.0
269.0,1525.575439453125,5559.4453125,81.0
270.0,1514.49853515625,6581.3125,93.0
271.0,1488.941650390625,6418.55859375,93.0
272.0,1493.25390625,5970.97265625,92.0
273.0,1545.28564453125,7257.8203125,70.0
274.0,1523.515869140625,7725.0078125,70.0
275.0,1475.0799560546875,7725.0078125,70.0
276.0,1513.669921875,7641.46875,71.0
277.0,1483.1446533203125,6573.91015625,103.0
278.0,1516.171142578125,7416.5234375,86.0
279.0,1556.75732421875,6526.5390625,89.0
280.0,1528.305419921875,5882.2265625,89.0
281.0,1471.31494140625,6798.0,89.0
282.0,1470.5059814453125,6947.6171875,78.0
283.0,1601.004638671875,7055.8671875,78.0
284.0,1592.1397705078125,6202.2421875,78.0
285.0,1504.7294921875,6152.69921875,75.0
286.0,1531.166748046875,7292.08984375,98.0
287.0,1625.8443603515625,5609.33984375,79.0
288.0,1642.447265625,6029.16015625,99.0
289.0,1565.198486328125,6026.1328125,79.0
290.0,1525.8626708984375,6695.8046875,79.0
291.0,1579.0623779296875,7010.890625,100.0
292.0,1602.3670654296875,5766.59765625,100.0
293.0,1655.5672607421875,5369.12890625,100.0
294.0,1606.398681640625,6364.64453125,98.0
295.0,1620.6856689453125,7104.07421875,100.0
296.0,1623.353759765625,6139.890625,97.0
297.0,1500.3394775390625,5109.24609375,71.0
298.0,1489.94140625,5747.21875,71.0
299.0,1483.6405029296875,5571.72265625,74.0
300.0,1448.6104736328125,6921.828125,74.0
301.0,1393.1015625,7025.140625,100.0
302.0,1335.8082275390625,5655.62890625,69.0
303.0,1338.42626953125,5624.5625,69.0
304.0,1418.53173828125,5488.484375,81.0
305.0,1470.2677001953125,5344.6484375,81.0
306.0,1387.91015625,5501.79296875,78.0
307.0,1259.847412109375,5245.46875,78.0
308.0,1327.5008544921875,5614.35546875,91.0
309.0,1420.9083251953125,5886.765625,97.0
310.0,1462.840576171875,5355.6328125,95.0
311.0,1453.612060546875,6604.45703125,78.0
312.0,1411.6949462890625,5849.35546875,100.0
313.0,1446.0753173828125,6308.48046875,100.0
314.0,1428.71337890625,5982.4921875,64.0
315.0,1445.390625,6004.0546875,64.0
316.0,1466.9974365234375,5880.21875,74.0
317.0,1428.774169921875,6450.421875,74.0
318.0,1496.19140625,5881.5546875,95.0
319.0,1535.027587890625,6035.73828125,95.0
320.0,1471.561279296875,6534.09765625,95.0
321.0,1391.318359375,5937.94140625,70.0
322.0,1386.2813720703125,5517.890625,96.0
323.0,1468.7244873046875,6247.1796875,112.0
324.0,1425.2764892578125,6555.0546875,112.0
325.0,1407.716552734375,7505.7890625,112.0
326.0,1417.336181640625,7653.8515625,90.0
327.0,1415.2711181640625,6051.8828125,107.0
328.0,1460.6966552734375,5836.97265625,93.0
329.0,1404.52880859375,5620.921875,85.0
330.0,1401.4324951171875,5586.29296875,85.0
331.0,1437.59619140625,5660.68359375,85.0
332.0,1417.4964599609375,5846.1875,77.0
333.0,1494.7864990234375,5902.6015625,64.0
334.0,1533.205322265625,5958.37109375,58.0
335.0,1483.10498046875,6115.7734375,91.0
336.0,1415.573486328125,5983.34765625,80.0
337.0,1307.537353515625,4871.4921875,64.0
338.0,1340.10302734375,5099.12890625,70.0
339.0,1348.05810546875,5389.3203125,92.0
340.0,1386.195556640625,5953.05078125,89.0
341.0,1414.8135986328125,5213.5,69.0
342.0,1372.447021484375,5297.2109375,72.0
343.0,1374.214599609375,6752.9453125,74.0
344.0,1307.1614990234375,5930.4453125,63.0
345.0,1280.7054443359375,6295.87109375,63.0
346.0,1300.686767578125,6377.66796875,76.0
347.0,1315.9185791015625,7174.765625,76.0
348.0,1356.52587890625,5895.2109375,76.0
349.0,1322.240478515625,6172.9921875,76.0
350.0,1327.35888671875,5467.95703125,85.0
351.0,1391.9378662109375,5217.27734375,85.0
352.0,1359.6551513671875,6116.6953125,85.0
353.0,1395.2447509765625,5939.10546875,85.0
354.0,1388.7232666015625,6296.734375,85.0
355.0,1360.5302734375,5895.29296875,78.0
356.0,1381.325439453125,5667.38671875,78.0
357.0,1341.99609375,5213.41015625,90.0
358.0,1400.37255859375,5565.19140625,90.0
359.0,1388.6220703125,6069.5,90.0
360.0,1389.8533935546875,6241.48828125,67.0
361.0,1399.6929931640625,5093.73828125,67.0
362.0,1321.75732421875,5502.1875,67.0
363.0,1354.9407958984375,5056.328125,104.0
364.0,1380.1510009765625,5305.60546875,59.0
365.0,1409.741943359375,6180.7578125,104.0
366.0,1409.575927734375,6834.0546875,91.0
367.0,1345.626220703125,5763.2890625,69.0
368.0,1463.8726806640625,6022.09375,69.0
369.0,1510.783447265625,5544.84375,91.0
370.0,1449.1168212890625,5696.57421875,91.0
371.0,1372.752685546875,5110.05078125,86.0
372.0,1329.955078125,5271.4453125,86.0
373.0,1467.453125,6430.0078125,86.0
374.0,1523.43505859375,6338.4609375,86.0
375.0,1527.2142333984375,6726.14453125,86.0
376.0,1519.0181884765625,6085.7265625,86.0
377.0,1486.4505615234375,6581.64453125,62.0
378.0,1555.57373046875,6679.87890625,62.0
379.0,1529.00390625,6477.6796875,62.0
380.0,1477.79248046875,5421.7890625,102.0
381.0,1465.87353515625,5963.3125,82.0
382.0,1448.686767578125,6168.55859375,82.0
383.0,1503.0501708984375,6781.27734375,82.0
384.0,1475.049560546875,5429.21875,97.0
385.0,1419.62744140625,6525.30859375,97.0
386.0,1432.5020751953125,6071.84375,97.0
387.0,1370.511962890625,6817.51171875,97.0
388.0,1424.4647216796875,6330.4140625,71.0
389.0,1414.3848876953125,6782.5859375,68.0
390.0,1422.3631591796875,6272.359375,97.0
391.0,1387.5477294921875,6332.234375,98.0
392.0,1370.950927734375,5229.48828125,63.0
393.0,1500.7030029296875,7498.7109375,81.0
394.0,1523.865234375,7442.33203125,63.0
395.0,1455.08447265625,7235.9765625,91.0
396.0,1377.1392822265625,7092.69140625,91.0
397.0,1329.9359130859375,5424.84375,84.0
398.0,1499.213623046875,5958.69140625,117.0
399.0,1573.6417236328125,6237.0703125,117.0
400.0,1500.6572265625,6303.38671875,117.0
401.0,1392.48291015625,5598.37890625,88.0
402.0,1277.4356689453125,6096.828125,92.0
403.0,1395.44482421875,6718.84375,92.0
404.0,1457.90087890625,5872.765625,98.0
405.0,1379.37060546875,6245.11328125,107.0
406.0,1316.7271728515625,5631.81640625,111.0
407.0,1239.048828125,5205.9453125,107.0
408.0,1344.214111328125,5821.40234375,74.0
409.0,1383.32861328125,6173.08203125,92.0
410.0,1417.0413818359375,6644.30859375,92.0
411.0,1429.760498046875,6135.6640625,106.0
412.0,1317.135009765625,4785.28515625,106.0
413.0,1348.5997314453125,5713.36328125,80.0
414.0,1437.86279296875,5729.640625,80.0
415.0,1520.72021484375,6143.83203125,93.0
416.0,1511.2362060546875,6198.5390625,93.0
417.0,1382.40966796875,6396.37890625,93.0
418.0,1448.531005859375,5927.203125,77.0
419.0,1476.0751953125,6922.94921875,103.0
420.0,1504.753662109375,6977.03515625,103.0
421.0,1473.112548828125,6021.5078125,84.0
422.0,1417.1483154296875,5409.7734375,84.0
423.0,1477.3734130859375,6618.77734375,84.0
424.0,1411.619873046875,6594.12890625,85.0
425.0,1362.47216796875,6208.55078125,85.0
426.0,1436.420654296875,7482.09765625,85.0
427.0,1376.3135986328125,7463.953125,85.0
428.0,1360.2440185546875,6810.17578125,81.0
429.0,1362.7938232421875,5871.8203125,88.0
430.0,1479.3619384765625,5643.78125,107.0
431.0,1517.7515869140625,6003.22265625,107.0
432.0,1450.03662109375,5688.79296875,83.0
433.0,1449.1533203125,5825.6875,83.0
434.0,1424.8060302734375,6430.6875,83.0
435.0,1451.2998046875,5886.8515625,65.0
436.0,1440.27099609375,4977.9296875,65.0
437.0,1358.391845703125,5405.13671875,64.0
438.0,1411.8057861328125,6378.0625,131.0
439.0,1474.967529296875,6208.33203125,131.0
440.0,1443.875732421875,6567.69140625,131.0
441.0,1368.491943359375,6222.4765625,68.0
442.0,1336.5899658203125,5543.734375,68.0
443.0,1433.33544921875,6070.86328125,68.0
444.0,1452.7962646484375,6966.56640625,103.0
445.0,1510.257080078125,6800.015625,98.0
446.0,1538.026123046875,6534.98046875,98.0
447.0,1536.9852294921875,5754.921875,98.0
448.0,1687.63623046875,6942.7578125,98.0
449.0,1714.756591796875,9254.515625,105.0
450.0,1648.5916748046875,8275.48828125,105.0
451.0,1583.98779296875,8087.625,97.0
452.0,1492.3497314453125,5869.5625,73.0
453.0,1577.605224609375,8967.5546875,73.0
454.0,1633.463623046875,8752.33203125,100.0
455.0,1626.71630859375,7123.78125,100.0
456.0,1547.115234375,6150.91015625,64.0
457.0,1451.14599609375,6865.53125,64.0
458.0,1483.8438720703125,7102.2734375,64.0
459.0,1518.5618896484375,6310.40625,62.0
460.0,1529.3392333984375,6963.20703125,64.0
461.0,1535.3551025390625,6011.6171875,96.0
462.0,1473.9071044921875,5805.4140625,109.0
463.0,1547.3814697265625,6389.69921875,109.0
464.0,1606.3927001953125,6684.6484375,109.0
465.0,1587.5172119140625,6916.8359375,96.0
466.0,1560.7645263671875,7268.56640625,96.0
467.0,1500.8203125,5980.7578125,68.0
468.0,1586.7818603515625,7000.6328125,68.0
469.0,1650.2479248046875,9102.5,68.0
470.0,1675.2685546875,8818.046875,68.0
471.0,1612.9176025390625,6762.3671875,68.0
472.0,1532.350341796875,5928.90625,101.0
473.0,1567.56640625,5875.890625,101.0
474.0,1596.87353515625,6463.48046875,84.0
475.0,1645.6968994140625,6438.9921875,89.0
476.0,1649.9219970703125,6488.2421875,89.0
477.0,1639.2459716796875,7274.73828125,89.0
478.0,1655.0880126953125,6867.48828125,89.0
479.0,1632.988525390625,6978.25390625,89.0
480.0,1572.662841796875,7017.2109375,70.0
481.0,1604.2711181640625,7074.73046875,63.0
482.0,1672.64697265625,7873.0625,63.0
483.0,1670.4783935546875,8214.47265625,63.0
484.0,1577.8016357421875,7539.8203125,63.0
485.0,1587.2841796875,7796.46875,63.0
486.0,1573.1534423828125,7739.140625,106.0
487.0,1547.3184814453125,6877.06640625,106.0
488.0,1619.3475341796875,8309.18359375,106.0
489.0,1709.1324462890625,7238.81640625,106.0
490.0,1658.061279296875,7932.58203125,119.0
491.0,1619.5643310546875,7369.98828125,106.0
492.0,1561.09716796875,6111.5859375,72.0
493.0,1608.861328125,8318.2890625,63.0
494.0,1662.0970458984375,6794.328125,90.0
495.0,1655.3084716796875,7120.61328125,90.0
496.0,1613.0635986328125,6745.84375,93.0
497.0,1705.1630859375,7252.2890625,93.0
498.0,1819.3985595703125,7922.66796875,103.0
499.0,1693.242919921875,7722.92578125,103.0
500.0,1684.6854248046875,7757.44140625,106.0
501.0,1821.5736083984375,8883.4765625,112.0
502.0,1805.2857666015625,8577.1484375,112.0
503.0,1761.94677734375,7235.9765625,112.0
504.0,1815.8917236328125,7665.83984375,84.0
505.0,1827.090087890625,7019.015625,84.0
506.0,1700.816162109375,6617.765625,73.0
507.0,1668.6533203125,5815.3359375,73.0
508.0,1760.90087890625,6800.3828125,73.0
509.0,1820.09521484375,8601.73828125,62.0
510.0,1868.4326171875,8683.78515625,62.0
511.0,1876.6510009765625,8683.78515625,97.0
512.0,1813.2921142578125,7764.015625,126.0
513.0,1812.634033203125,7885.99609375,73.0
514.0,1817.9940185546875,6640.86328125,73.0
515.0,1795.1209716796875,8018.515625,73.0
516.0,1782.3436279296875,8005.36328125,113.0
517.0,1851.044921875,8548.1015625,84.0
518.0,1998.984375,7417.28515625,72.0
519.0,1997.412841796875,7321.07421875,64.0
520.0,1818.123046875,7414.1953125,72.0
521.0,1740.0521240234375,7521.05078125,113.0
522.0,1831.7833251953125,6781.39453125,113.0
523.0,1907.0645751953125,8007.53515625,74.0
524.0,1857.7034912109375,7455.27734375,74.0
525.0,1785.4256591796875,7177.5859375,114.0
526.0,1764.128662109375,6696.109375,114.0
527.0,1777.67919921875,6752.9453125,114.0
528.0,1894.560302734375,7684.3828125,114.0
529.0,1859.387451171875,8538.85546875,91.0
530.0,1776.9656982421875,8367.43359375,91.0
531.0,1765.6490478515625,8499.44921875,91.0
532.0,1820.03271484375,6974.2109375,91.0
533.0,1984.7960205078125,8130.265625,91.0
534.0,2070.62890625,7672.69921875,91.0
535.0,2057.70703125,7677.34375,91.0
536.0,1917.177001953125,6950.0546875,91.0
537.0,1853.4468994140625,8082.4453125,116.0
538.0,2014.856689453125,7655.9609375,116.0
539.0,2065.02978515625,7512.8203125,116.0
540.0,2009.965087890625,8156.77734375,94.0
541.0,1907.283447265625,7593.9375,80.0
542.0,1817.08544921875,6779.8046875,81.0
543.0,1881.188720703125,7983.58984375,81.0
544.0,1997.513916015625,7745.6484375,115.0
545.0,2069.15185546875,7229.16796875,98.0
546.0,2064.99755859375,7765.17578125,70.0
547.0,2018.4482421875,7891.5,70.0
548.0,2033.5283203125,8838.86328125,95.0
549.0,1954.06640625,7966.60546875,95.0
550.0,1858.845703125,7600.08203125,95.0
551.0,1866.7960205078125,7363.33203125,74.0
552.0,2037.20654296875,8470.6015625,74.0
553.0,2100.84130859375,7133.19921875,74.0
554.0,2072.449951171875,7310.41796875,99.0
555.0,2110.50927734375,7319.44140625,92.0
556.0,2057.8017578125,9073.6875,92.0
557.0,1989.4635009765625,8016.75390625,85.0
558.0,1969.932861328125,8523.91796875,85.0
559.0,2006.3685302734375,7801.55078125,75.0
560.0,2134.468505859375,9137.33203125,74.0
561.0,2152.56591796875,9893.12109375,95.0
562.0,2021.6138916015625,7876.36328125,100.0
563.0,1911.1754150390625,9751.94140625,100.0
564.0,1882.63427734375,9101.8125,100.0
565.0,2018.278076171875,7824.47265625,95.0
566.0,2178.609130859375,8489.48828125,95.0
567.0,2130.033203125,8150.14453125,90.0
568.0,2058.554443359375,7143.32421875,91.0
569.0,1968.3621826171875,7081.15625,91.0
570.0,1942.9052734375,6714.078125,74.0
571.0,1977.962646484375,7609.2890625,74.0
572.0,1975.688720703125,7197.7421875,114.0
573.0,1976.0404052734375,7704.1640625,114.0
574.0,1945.450439453125,7108.37109375,114.0
575.0,1924.23779296875,7567.59765625,84.0
576.0,1967.828125,8101.3203125,94.0
577.0,1978.955810546875,8568.44140625,94.0
578.0,1904.5211181640625,8632.38671875,94.0
579.0,1717.32861328125,6841.03515625,103.0
580.0,1679.05615234375,6006.828125,103.0
581.0,1786.56982421875,7125.2890625,103.0
582.0,1898.8626708984375,8126.81640625,103.0
583.0,1940.6910400390625,7347.53125,103.0
584.0,1822.1583251953125,7851.80078125,103.0
585.0,1719.07568359375,7182.265625,103.0
586.0,1707.2352294921875,6070.75390625,103.0
587.0,1632.8564453125,6190.60546875,103.0
588.0,1656.35986328125,6671.0625,105.0
589.0,1728.0509033203125,6352.38671875,105.0
590.0,1807.9986572265625,6694.75,105.0
591.0,1858.6728515625,6933.6484375,105.0
