Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,134.0
1.0,0.0,0.0,134.0
2.0,0.0,0.0,147.0
3.0,0.0,0.0,123.0
4.0,0.0,0.0,123.0
5.0,0.8587509393692017,122.076171875,123.0
6.0,6.062204837799072,464.1328125,123.0
7.0,11.459012985229492,618.84375,152.0
8.0,19.312822341918945,681.9677734375,144.0
9.0,41.80971908569336,954.677734375,144.0
10.0,70.85009765625,1312.681640625,95.0
11.0,86.1052474975586,1432.015625,95.0
12.0,114.43336486816406,1841.9921875,166.0
13.0,149.44610595703125,2536.666015625,166.0
14.0,172.29592895507812,2692.69921875,166.0
15.0,190.79701232910156,2979.7958984375,135.0
16.0,194.37928771972656,3724.7451171875,136.0
17.0,225.37738037109375,4275.05859375,91.0
18.0,294.37420654296875,3097.265625,91.0
19.0,376.22674560546875,3631.27734375,91.0
20.0,433.8657531738281,3935.4326171875,91.0
21.0,437.68548583984375,4819.66796875,124.0
22.0,425.67144775390625,5867.265625,124.0
23.0,416.20208740234375,6942.14453125,135.0
24.0,451.1306457519531,7903.3671875,124.0
25.0,569.9078369140625,5086.2109375,124.0
26.0,669.8126220703125,6522.88671875,124.0
27.0,791.1201171875,7247.65234375,124.0
28.0,925.919189453125,7862.6328125,122.0
29.0,919.7411499023438,8909.56640625,121.0
30.0,802.835693359375,9962.3515625,97.0
31.0,987.987548828125,7733.64453125,77.0
32.0,1160.75927734375,10629.87890625,97.0
33.0,1272.6080322265625,10501.80859375,151.0
34.0,1185.7388916015625,12239.75390625,140.0
35.0,1260.735595703125,12688.91796875,140.0
36.0,1383.3548583984375,11611.20703125,100.0
37.0,1324.5291748046875,15133.85546875,119.0
38.0,1229.560791015625,14373.421875,75.0
39.0,1557.882568359375,12841.828125,78.0
40.0,1792.884033203125,11762.92578125,78.0
41.0,1816.6175537109375,11784.33203125,78.0
42.0,1811.719970703125,11663.6796875,123.0
43.0,1819.1568603515625,13313.08984375,92.0
44.0,1736.9998779296875,12888.140625,138.0
45.0,1565.46630859375,11181.96875,135.0
46.0,1746.16748046875,12026.48046875,85.0
47.0,2172.331298828125,12709.80078125,85.0
48.0,2465.05419921875,14102.80078125,129.0
49.0,2496.427490234375,12372.72265625,129.0
50.0,2480.268798828125,13086.53515625,139.0
51.0,2565.668212890625,11146.21484375,79.0
52.0,2722.973876953125,12339.6875,79.0
53.0,3020.60205078125,13668.80078125,79.0
54.0,3059.138916015625,13491.19921875,121.0
55.0,2959.91064453125,15586.390625,121.0
56.0,3087.9482421875,12649.82421875,121.0
57.0,3333.433837890625,12441.44921875,121.0
58.0,3511.637451171875,11806.72265625,121.0
59.0,3539.351318359375,12826.59765625,121.0
60.0,3573.291259765625,12360.53515625,121.0
61.0,3473.988037109375,10989.28125,121.0
62.0,3344.09423828125,10939.14453125,118.0
63.0,3313.3408203125,11336.29296875,84.0
64.0,3405.8046875,13838.609375,84.0
65.0,3740.993896484375,13838.609375,131.0
66.0,3868.199462890625,13803.1484375,131.0
67.0,3672.419189453125,14355.2734375,124.0
68.0,3575.17041015625,12383.4921875,162.0
69.0,3659.96533203125,12503.17578125,164.0
70.0,3524.673583984375,11810.484375,105.0
71.0,3339.322265625,11320.35546875,116.0
72.0,3331.668212890625,11336.7890625,96.0
73.0,3581.49755859375,13612.31640625,125.0
74.0,3851.77197265625,12289.109375,115.0
75.0,3871.43701171875,13073.51953125,110.0
76.0,3623.957275390625,13359.4765625,110.0
77.0,3577.47998046875,15935.265625,110.0
78.0,3815.4658203125,13811.45703125,117.0
79.0,4118.71044921875,13479.921875,138.0
80.0,4187.37353515625,14863.14453125,138.0
81.0,4043.122802734375,14682.625,135.0
82.0,3910.675537109375,12817.484375,135.0
83.0,4035.4365234375,14830.33203125,135.0
84.0,4087.48779296875,13698.24609375,135.0
85.0,3991.718994140625,13071.0625,99.0
