Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,118.0
1.0,0.0,0.0,134.0
2.0,0.0,0.0,151.0
3.0,0.0,0.0,68.0
4.0,0.0,0.0,101.0
5.0,0.0,0.0,101.0
6.0,0.0,0.0,139.0
7.0,0.0,0.0,139.0
8.0,0.0,0.0,136.0
9.0,0.0,0.0,136.0
10.0,0.0,0.0,151.0
11.0,0.0,0.0,148.0
12.0,0.0,0.0,148.0
13.0,0.0,0.0,78.0
14.0,0.0,0.0,78.0
15.0,0.0,0.0,78.0
16.0,0.0,0.0,78.0
17.0,0.0,0.0,78.0
18.0,0.0,0.0,137.0
19.0,0.0,0.0,137.0
20.0,0.0,0.0,137.0
21.0,0.0,0.0,91.0
22.0,0.0,0.0,87.0
23.0,0.0,0.0,87.0
24.0,0.0,0.0,117.0
25.0,0.0,0.0,113.0
26.0,0.0,0.0,113.0
27.0,0.0,0.0,113.0
28.0,0.0,0.0,113.0
29.0,0.0,0.0,134.0
30.0,0.0,0.0,134.0
31.0,0.0,0.0,134.0
32.0,0.0,0.0,134.0
33.0,0.0,0.0,109.0
34.0,0.0,0.0,109.0
35.0,0.0,0.0,109.0
36.0,0.0,0.0,143.0
37.0,0.0,0.0,141.0
38.0,0.0,0.0,141.0
39.0,0.0,0.0,71.0
40.0,0.0,0.0,191.0
41.0,0.0,0.0,191.0
42.0,0.0,0.0,127.0
43.0,0.0,0.0,147.0
44.0,0.0,0.0,147.0
45.0,0.0,0.0,147.0
46.0,0.0,0.0,147.0
47.0,0.0,0.0,147.0
48.0,0.0,0.0,117.0
49.0,0.0,0.0,129.0
50.0,0.0,0.0,129.0
51.0,0.0,0.0,129.0
52.0,0.0,0.0,110.0
53.0,0.0,0.0,110.0
54.0,0.0,0.0,110.0
55.0,0.0,0.0,147.0
56.0,0.0,0.0,104.0
57.0,0.0,0.0,104.0
58.0,0.0,0.0,104.0
59.0,0.0,0.0,151.0
60.0,0.0,0.0,151.0
61.0,0.0,0.0,151.0
62.0,4.6402812004089355,2130.3193359375,151.0
63.0,8.501026153564453,2043.14453125,151.0
64.0,23.699045181274414,3405.2421875,160.0
65.0,31.23867416381836,4933.3671875,118.0
66.0,42.610591888427734,5493.9765625,118.0
67.0,68.44197082519531,4260.63671875,118.0
68.0,95.78179931640625,3801.0400390625,118.0
69.0,127.21663665771484,6612.3671875,118.0
70.0,181.6012420654297,8375.6640625,133.0
71.0,219.17556762695312,7067.69921875,133.0
72.0,286.55120849609375,4756.68359375,133.0
73.0,362.8172607421875,6957.6171875,99.0
74.0,398.7897644042969,7264.515625,94.0
75.0,440.4752502441406,7718.671875,165.0
76.0,508.5862731933594,7532.6796875,141.0
77.0,612.0608520507812,7751.90234375,156.0
78.0,714.4279174804688,7800.36328125,156.0
79.0,748.821044921875,9037.25,156.0
80.0,817.2636108398438,9985.09765625,95.0
81.0,991.8894653320312,8129.234375,95.0
82.0,1154.1414794921875,9588.5546875,171.0
83.0,1122.6947021484375,11971.71875,171.0
84.0,1057.62890625,9311.3359375,129.0
85.0,1343.3258056640625,9812.890625,129.0
86.0,1512.537109375,12343.70703125,136.0
87.0,1404.3795166015625,11357.64453125,136.0
88.0,1543.7869873046875,9525.69140625,153.0
89.0,1633.976806640625,11131.2421875,153.0
90.0,1735.1708984375,12947.3671875,108.0
91.0,1942.9210205078125,13159.62109375,176.0
92.0,2135.40185546875,11178.36328125,137.0
93.0,2200.263671875,12360.6875,140.0
94.0,2447.650390625,11761.05859375,140.0
95.0,2546.187255859375,11329.25,133.0
96.0,2574.066650390625,13660.44921875,133.0
97.0,2790.5546875,12683.140625,135.0
98.0,2963.88720703125,13336.453125,146.0
99.0,3020.8642578125,15515.3984375,93.0
100.0,3089.711669921875,14923.765625,93.0
101.0,3400.097412109375,15983.40234375,159.0
102.0,3354.457763671875,14444.64453125,137.0
103.0,3348.033935546875,13791.4609375,137.0
104.0,3328.226806640625,14149.546875,137.0
105.0,3599.830078125,14619.08984375,137.0
106.0,3677.562744140625,14002.72265625,137.0
107.0,3324.48095703125,14680.71484375,137.0
108.0,3276.084716796875,14470.41796875,103.0
109.0,3408.64794921875,13380.46875,139.0
110.0,3493.993896484375,12547.7578125,139.0
111.0,3337.484130859375,15405.5078125,144.0
112.0,3173.11962890625,14488.51171875,144.0
113.0,3283.884033203125,12279.69140625,144.0
114.0,3497.70361328125,13849.87890625,144.0
115.0,3315.271728515625,15325.6875,144.0
116.0,3353.209228515625,14289.12109375,144.0
117.0,3480.098876953125,14503.99609375,148.0
118.0,3378.654541015625,14160.23046875,148.0
119.0,3279.6015625,15283.95703125,148.0
120.0,3551.2626953125,16123.72265625,129.0
121.0,3722.693603515625,14693.125,162.0
122.0,3676.572021484375,13227.92578125,162.0
123.0,3631.11962890625,14450.67578125,144.0
124.0,3545.389892578125,14517.3828125,89.0
125.0,3620.515869140625,13315.2734375,149.0
126.0,3657.086669921875,12052.22265625,148.0
127.0,3520.642822265625,12377.390625,148.0
128.0,3379.581298828125,13530.61328125,148.0
129.0,3559.1796875,14918.01171875,148.0
130.0,3536.83544921875,16372.734375,104.0
131.0,3393.057861328125,17970.07421875,132.0
132.0,3355.802978515625,12770.15234375,99.0
133.0,3730.864013671875,15066.70703125,99.0
134.0,3757.661865234375,13508.20703125,165.0
135.0,3448.87939453125,13710.5,165.0
136.0,3364.380615234375,15106.65234375,165.0
137.0,3673.97119140625,15993.65234375,110.0
138.0,3548.22509765625,12994.30859375,92.0
139.0,3230.642578125,12271.26171875,118.0
140.0,3343.984619140625,12851.9296875,118.0
141.0,3509.51806640625,17249.0703125,153.0
142.0,3350.12353515625,14315.9140625,153.0
143.0,3354.681396484375,14121.8359375,153.0
144.0,3832.216064453125,19698.66796875,142.0
145.0,3763.238525390625,19987.69140625,100.0
146.0,3530.78662109375,15786.2421875,117.0
147.0,3743.138671875,20802.4296875,107.0
148.0,4085.5283203125,25608.26171875,126.0
149.0,4157.6435546875,23143.640625,126.0
150.0,3761.936767578125,16654.7109375,133.0
151.0,3747.801513671875,22531.65234375,133.0
