Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,76.0
1.0,0.0,0.0,82.0
2.0,0.0,0.0,126.0
3.0,1.0175493955612183,1174.251953125,82.0
4.0,4.273705005645752,4931.85546875,82.0
5.0,5.494763374328613,6340.95703125,82.0
6.0,44.07660675048828,10935.875,114.0
7.0,57.35322952270508,15176.31640625,84.0
8.0,81.41236114501953,13429.16796875,101.0
9.0,119.52193450927734,20676.65625,101.0
10.0,178.01559448242188,19610.84765625,100.0
11.0,232.81317138671875,16179.140625,99.0
12.0,281.55975341796875,17544.265625,99.0
13.0,348.6143798828125,16770.25390625,99.0
14.0,435.0182800292969,16407.78125,120.0
15.0,524.5655517578125,16212.44921875,83.0
16.0,566.0333862304688,19350.296875,109.0
17.0,560.7035522460938,16661.50390625,82.0
18.0,645.0409545898438,15045.37109375,82.0
19.0,827.3084106445312,17839.51171875,92.0
20.0,1064.0821533203125,17882.08984375,92.0
21.0,1273.6798095703125,19962.28125,92.0
22.0,1380.97265625,18553.1796875,89.0
23.0,1645.086181640625,21872.46484375,89.0
24.0,2025.3126220703125,22360.19140625,91.0
25.0,2370.296630859375,21967.91015625,102.0
26.0,2582.186279296875,24237.5234375,102.0
27.0,2790.452392578125,22005.07421875,114.0
28.0,3119.198486328125,22075.93359375,102.0
29.0,3329.219970703125,23719.88671875,114.0
30.0,3383.6318359375,23478.359375,91.0
31.0,3345.58984375,25542.390625,91.0
32.0,3474.89990234375,23994.3671875,91.0
33.0,3708.860595703125,28521.359375,91.0
34.0,4064.120849609375,29571.16796875,84.0
35.0,4231.142578125,22850.44921875,91.0
36.0,4396.640625,23549.72265625,91.0
37.0,4567.53662109375,24174.9375,110.0
38.0,4621.76220703125,26846.4296875,84.0
39.0,4649.07568359375,24380.0,91.0
40.0,4769.83837890625,25155.61328125,91.0
41.0,5445.7177734375,26574.40625,91.0
42.0,5962.541015625,24510.375,91.0
43.0,6430.9892578125,25284.38671875,91.0
44.0,7047.6298828125,28380.43359375,97.0
45.0,7386.57958984375,32766.5,97.0
46.0,7106.58251953125,32766.5,97.0
47.0,6814.39794921875,32766.5,98.0
48.0,7030.45458984375,32827.2421875,98.0
49.0,7700.0771484375,32827.2421875,98.0
50.0,7974.5,31992.48828125,90.0
51.0,7793.8916015625,32766.5,90.0
52.0,7805.875,30960.47265625,90.0
53.0,7977.60205078125,29322.28125,90.0
54.0,8321.3857421875,26855.86328125,90.0
55.0,8399.0625,32827.7578125,90.0
56.0,8238.884765625,27671.08203125,90.0
57.0,8045.71826171875,32746.4375,90.0
58.0,7951.03564453125,32746.4375,92.0
59.0,8296.5751953125,32452.37890625,85.0
60.0,8222.4208984375,32452.37890625,85.0
61.0,7889.75634765625,28122.4296875,123.0
62.0,7841.14990234375,28288.45703125,123.0
63.0,7817.73046875,30472.03125,123.0
64.0,7529.5009765625,32816.0390625,104.0
65.0,7125.13525390625,32112.8359375,96.0
66.0,6900.015625,28052.91015625,104.0
67.0,7025.5341796875,25145.1484375,86.0
68.0,7468.939453125,26061.421875,85.0
69.0,7555.72802734375,28122.4296875,134.0
70.0,7343.625,29670.453125,85.0
71.0,7483.7783203125,29670.453125,154.0
72.0,8159.78173828125,32766.5,97.0
73.0,8597.6083984375,32864.359375,97.0
74.0,8232.5703125,32876.3125,97.0
75.0,8184.80224609375,32766.5,97.0
76.0,7844.34228515625,32766.5,97.0
77.0,8016.05615234375,32766.5,111.0
78.0,8237.8837890625,32766.5,111.0
79.0,8388.8115234375,32845.2421875,111.0
80.0,7939.09716796875,32845.2421875,97.0
81.0,7680.06591796875,32766.5,97.0
82.0,7743.66650390625,32885.12890625,85.0
83.0,8434.380859375,32766.5,85.0
84.0,8496.8427734375,32882.546875,85.0
85.0,8140.8310546875,32766.5,76.0
86.0,7912.767578125,32766.5,85.0
87.0,8551.798828125,32766.5,132.0
88.0,8806.615234375,32766.5,78.0
89.0,8541.60546875,32766.5,78.0
90.0,7887.35791015625,32848.125,78.0
91.0,7933.52685546875,32766.5,122.0
92.0,8257.158203125,32807.4765625,110.0
93.0,8448.0673828125,32807.4765625,110.0
94.0,8169.37255859375,32677.53125,103.0
95.0,7967.4365234375,32766.5,103.0
96.0,7980.59716796875,32766.5,103.0
97.0,7851.84814453125,32179.796875,95.0
98.0,7934.85546875,32781.2578125,95.0
99.0,8325.2578125,28122.4296875,96.0
100.0,8265.73046875,30855.15234375,96.0
101.0,8259.6904296875,31748.39453125,96.0
102.0,8055.2841796875,28914.45703125,96.0
103.0,7688.94189453125,32762.66796875,96.0
104.0,7574.232421875,30186.4609375,118.0
105.0,8055.251953125,32804.921875,128.0
106.0,8744.7734375,32880.84765625,83.0
107.0,8563.7890625,26480.33203125,100.0
108.0,8276.1123046875,26882.87890625,100.0
109.0,7964.939453125,32800.09375,103.0
110.0,8525.130859375,32800.09375,103.0
111.0,8684.9755859375,27117.63671875,117.0
112.0,7964.5166015625,26832.41015625,117.0
113.0,7642.4404296875,27864.42578125,117.0
114.0,7681.72900390625,29269.203125,117.0
115.0,7543.48095703125,26193.4375,128.0
116.0,6943.49169921875,29591.328125,128.0
117.0,6461.39404296875,26809.23828125,128.0
118.0,7242.5908203125,28056.26171875,85.0
119.0,7715.27978515625,30504.4296875,85.0
120.0,7267.6640625,32456.71484375,96.0
121.0,6292.52587890625,32739.68359375,112.0
122.0,6094.83642578125,32739.68359375,112.0
123.0,6529.0703125,32474.609375,97.0
124.0,6620.3037109375,32474.609375,112.0
125.0,6434.4111328125,32015.7265625,129.0
126.0,6216.78271484375,32841.578125,88.0
127.0,6340.2275390625,30880.88671875,88.0
128.0,6547.349609375,30183.73046875,88.0
129.0,7195.095703125,31795.34765625,107.0
130.0,7680.16552734375,29610.93359375,107.0
131.0,7817.57958984375,32403.23046875,83.0
132.0,7266.0205078125,29544.12109375,83.0
133.0,7227.6123046875,32670.01171875,92.0
134.0,7156.81689453125,28928.61328125,117.0
135.0,7250.08984375,30328.3828125,93.0
136.0,7168.041015625,28144.46484375,93.0
137.0,7057.810546875,32238.203125,105.0
138.0,7210.57470703125,30958.91015625,122.0
139.0,7141.67138671875,32250.4921875,83.0
140.0,7035.36572265625,28928.61328125,83.0
141.0,7093.00244140625,29525.5234375,83.0
142.0,7421.42724609375,27801.4765625,104.0
143.0,7321.1298828125,32766.5,104.0
144.0,7671.65673828125,29670.453125,98.0
145.0,7989.40185546875,32766.5,98.0
146.0,8204.33203125,32766.5,98.0
147.0,7899.17333984375,31155.6328125,98.0
148.0,8380.8134765625,32766.5,98.0
149.0,9255.9150390625,32850.51171875,98.0
150.0,8966.5751953125,32854.4296875,89.0
151.0,7950.29541015625,32766.5,123.0
152.0,7472.578125,32766.5,96.0
153.0,8448.431640625,32882.03125,76.0
154.0,8968.00390625,32766.5,100.0
155.0,8442.501953125,32766.5,90.0
156.0,8210.572265625,32146.2421875,92.0
157.0,8268.625,32766.5,83.0
158.0,8222.9736328125,32837.5859375,83.0
159.0,7802.91748046875,32875.265625,92.0
160.0,7857.45068359375,32766.5,92.0
161.0,8034.44970703125,32766.5,93.0
162.0,7960.544921875,32809.9609375,99.0
163.0,7579.60205078125,32809.9609375,89.0
