holeid,from,to,TEMP,start_x,start_y,start_z,mid_x,mid_y,mid_z,end_x,end_y,end_z
REZOVACCKE_KRCCEVINE-1,670.0,680.0,42.13271485148515,689340.7057,5072557.328,-525.8436919,689340.7057,5072557.328,-530.8436919,689340.7057,5072557.328,-535.8436919
REZOVACCKE_KRCCEVINE-1,680.0,690.0,42.434082499999995,689340.7057,5072557.328,-535.8436919,689340.7057,5072557.328,-540.8436919,689340.7057,5072557.328,-545.8436919
REZOVACCKE_KRCCEVINE-1,690.0,700.0,42.8345785,689340.7057,5072557.328,-545.8436919,689340.7057,5072557.328,-550.8436919,689340.7057,5072557.328,-555.8436919
REZOVACCKE_KRCCEVINE-1,700.0,710.0,43.2350755,689340.7057,5072557.328,-555.8436919,689340.7057,5072557.328,-560.8436919,689340.7057,5072557.328,-565.8436919
REZOVACCKE_KRCCEVINE-1,710.0,720.0,43.635571500000005,689340.7057,5072557.328,-565.8436919,689340.7057,5072557.328,-570.8436919,689340.7057,5072557.328,-575.8436919
REZOVACCKE_KRCCEVINE-1,720.0,730.0,44.036069499999996,689340.7057,5072557.328,-575.8436919,689340.7057,5072557.328,-580.8436919,689340.7057,5072557.328,-585.8436919
REZOVACCKE_KRCCEVINE-1,730.0,740.0,44.4365675,689340.7057,5072557.328,-585.8436919,689340.7057,5072557.328,-590.8436919,689340.7057,5072557.328,-595.8436919
REZOVACCKE_KRCCEVINE-1,740.0,750.0,44.83706650000001,689340.7057,5072557.328,-595.8436919,689340.7057,5072557.328,-600.8436919,689340.7057,5072557.328,-605.8436919
REZOVACCKE_KRCCEVINE-1,750.0,760.0,45.23756349999999,689340.7057,5072557.328,-605.8436919,689340.7057,5072557.328,-610.8436919,689340.7057,5072557.328,-615.8436919
REZOVACCKE_KRCCEVINE-1,760.0,770.0,45.63805949999999,689340.7057,5072557.328,-615.8436919,689340.7057,5072557.328,-620.8436919,689340.7057,5072557.328,-625.8436919
REZOVACCKE_KRCCEVINE-1,770.0,780.0,46.038557499999996,689340.7057,5072557.328,-625.8436919,689340.7057,5072557.328,-630.8436919,689340.7057,5072557.328,-635.8436919
REZOVACCKE_KRCCEVINE-1,780.0,790.0,46.43905650000001,689340.7057,5072557.328,-635.8436919,689340.7057,5072557.328,-640.8436919,689340.7057,5072557.328,-645.8436919
REZOVACCKE_KRCCEVINE-1,790.0,800.0,46.83955449999999,689340.7057,5072557.328,-645.8436919,689340.7057,5072557.328,-650.8436919,689340.7057,5072557.328,-655.8436919
REZOVACCKE_KRCCEVINE-1,800.0,810.0,47.24005050000001,689340.7057,5072557.328,-655.8436919,689340.7057,5072557.328,-660.8436919,689340.7057,5072557.328,-665.8436919
REZOVACCKE_KRCCEVINE-1,810.0,820.0,47.6405485,689340.7057,5072557.328,-665.8436919,689340.7057,5072557.328,-670.8436919,689340.7057,5072557.328,-675.8436919
REZOVACCKE_KRCCEVINE-1,820.0,830.0,48.041043499999994,689340.7057,5072557.328,-675.8436919,689340.7057,5072557.328,-680.8436919,689340.7057,5072557.328,-685.8436919
REZOVACCKE_KRCCEVINE-1,830.0,840.0,48.4415425,689340.7057,5072557.328,-685.8436919,689340.7057,5072557.328,-690.8436919,689340.7057,5072557.328,-695.8436919
REZOVACCKE_KRCCEVINE-1,840.0,850.0,48.842041500000015,689340.7057,5072557.328,-695.8436919,689340.7057,5072557.328,-700.8436919,689340.7057,5072557.328,-705.8436919
REZOVACCKE_KRCCEVINE-1,850.0,860.0,49.24253850000001,689340.7057,5072557.328,-705.8436919,689340.7057,5072557.328,-710.8436919,689340.7057,5072557.328,-715.8436919
REZOVACCKE_KRCCEVINE-1,860.0,870.0,49.64303549999999,689340.7057,5072557.328,-715.8436919,689340.7057,5072557.328,-720.8436919,689340.7057,5072557.328,-725.8436919
REZOVACCKE_KRCCEVINE-1,870.0,880.0,50.0435325,689340.7057,5072557.328,-725.8436919,689340.7057,5072557.328,-730.8436919,689340.7057,5072557.328,-735.8436919
REZOVACCKE_KRCCEVINE-1,880.0,890.0,50.4440315,689340.7057,5072557.328,-735.8436919,689340.7057,5072557.328,-740.8436919,689340.7057,5072557.328,-745.8436919
