Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0,0.0,0.0,57.0
1,0.0,0.0,57.0
2,0.0,0.0,57.0
3,0.0,0.0,57.0
4,0.0,0.0,82.0
5,0.0,0.0,82.0
6,0.0,0.0,82.0
7,0.0,0.0,82.0
8,0.0,0.0,82.0
9,0.0,0.0,77.0
10,0.0,0.0,82.0
11,0.0,0.0,77.0
12,0.0,0.0,70.0
13,0.0,0.0,51.0
14,0.0,0.0,51.0
15,0.0,0.0,98.0
16,0.0,0.0,103.0
17,0.0,0.0,95.0
18,0.0,0.0,62.0
19,0.0,0.0,95.0
20,0.0,0.0,54.0
21,0.0,0.0,70.0
22,0.0,0.0,70.0
23,0.0,0.0,72.0
24,0.0,0.0,72.0
25,0.0,0.0,72.0
26,0.0,0.0,70.0
27,0.0,0.0,106.0
28,0.0,0.0,84.0
29,0.0,0.0,84.0
30,0.0,0.0,69.0
31,0.0,0.0,69.0
32,0.0,0.0,69.0
33,0.0,0.0,68.0
34,0.0,0.0,68.0
35,0.0,0.0,91.0
36,0.0,0.0,63.0
37,0.0,0.0,91.0
38,0.0,0.0,91.0
39,0.0,0.0,60.0
40,0.0,0.0,60.0
41,0.0,0.0,60.0
42,0.0,0.0,60.0
43,0.0,0.0,86.0
44,0.0,0.0,86.0
45,0.0,0.0,86.0
46,11.875864,1459.0122,86.0
47,44.03118,1296.8999,86.0
48,105.12297,2147.2258,71.0
49,129.85735,2750.002,88.0
50,173.69188,2082.8354,88.0
51,254.81522,3142.3853,88.0
52,305.18732,2921.867,101.0
53,385.58353,3349.671,85.0
54,463.57132,2975.9038,85.0
55,537.3484,4741.1406,85.0
56,648.0122,4154.5547,85.0
57,740.5583,4134.5195,85.0
58,850.5883,4666.215,84.0
59,943.16644,4970.535,84.0
60,1039.0625,5142.918,95.0
61,1151.9424,4623.6797,95.0
62,1267.4178,4779.6484,65.0
63,1282.597,4919.035,65.0
64,1315.998,4896.254,65.0
65,1434.9636,4956.7812,65.0
66,1474.9521,4845.3945,65.0
67,1385.7046,5231.465,94.0
68,1316.7644,4807.5938,94.0
69,1391.1731,4767.082,65.0
70,1478.3038,5027.961,65.0
71,1507.686,4966.043,65.0
72,1508.1482,5082.8906,94.0
73,1429.1447,4683.504,94.0
74,1454.9731,5610.379,88.0
75,1577.7131,5284.9766,88.0
76,1716.9817,5517.547,88.0
77,1833.9197,5592.043,88.0
78,1870.9364,5977.9727,59.0
79,1790.9382,5907.6445,58.0
80,1895.1102,6973.914,59.0
81,2126.871,7300.8633,58.0
82,2127.4739,7583.84,56.0
83,1952.8262,7746.793,88.0
84,2102.9807,8089.0938,105.0
85,2265.983,8573.199,54.0
86,2347.5854,8087.8477,54.0
87,2270.469,10141.605,52.0
88,2356.9097,10437.711,52.0
89,2469.8909,9711.348,54.0
90,2487.2332,9705.418,54.0
91,2478.7202,7746.8594,54.0
92,2343.6914,8603.699,54.0
93,2430.2183,9865.496,54.0
94,2538.0496,9403.051,54.0
95,2371.2776,8364.977,54.0
96,2234.4983,7402.633,79.0
97,2303.9277,7376.922,79.0
98,2426.225,6953.8594,73.0
99,2325.3027,8244.016,73.0
100,2133.9893,9864.637,88.0
101,2009.5853,7962.172,93.0
102,2044.107,6710.004,93.0
103,1959.267,6948.301,58.0
104,1951.2809,6604.242,53.0
105,1890.5378,7328.0156,53.0
106,1717.2172,6623.3984,57.0
107,1640.6411,6847.5586,57.0
108,1595.3625,6299.1016,54.0
109,1598.1163,6321.3164,54.0
110,1574.794,6252.953,54.0
111,1564.7986,6000.3477,54.0
112,1645.2699,6272.6133,54.0
113,1773.9745,6677.297,54.0
114,1828.9153,5058.5586,54.0
115,1702.3514,5309.332,54.0
116,1632.5281,5267.8555,54.0
117,1698.0459,4382.2773,54.0
118,1763.8385,4948.6875,89.0
119,1694.3889,5239.4766,89.0
120,1594.934,5594.6484,60.0
121,1641.9268,5151.9062,60.0
122,1645.2179,4727.7695,60.0
123,1667.3984,4439.668,60.0
124,1507.5463,6087.1445,76.0
125,1504.3287,5934.9688,76.0
126,1604.3691,5436.3633,66.0
127,1637.238,5255.543,66.0
128,1515.8927,4586.6562,58.0
129,1407.6422,4270.7266,58.0
130,1454.0659,5201.543,58.0
131,1526.5342,4751.0156,58.0
132,1527.1857,5115.7383,67.0
133,1531.5481,4767.082,67.0
134,1500.3099,4870.0156,67.0
135,1367.5676,4995.2812,67.0
136,1321.6274,4892.078,88.0
137,1471.5885,5023.578,88.0
138,1578.468,5316.3086,88.0
139,1442.1714,5518.8125,88.0
140,1289.3499,5871.6445,53.0
141,1244.2961,5131.5195,53.0
142,1274.1952,4482.336,53.0
143,1279.1248,4419.965,104.0
144,1286.0109,4565.535,104.0
145,1268.6489,5007.8125,69.0
146,1317.0367,4734.3945,69.0
147,1321.8094,4620.0,83.0
148,1336.8536,5054.793,52.0
149,1373.6621,5596.543,52.0
150,1471.3091,5069.6367,52.0
151,1515.2867,5657.543,89.0
152,1406.6853,5364.3125,89.0
153,1341.2463,5192.8984,89.0
154,1314.1443,5522.4062,89.0
155,1499.8242,6293.871,89.0
156,1576.1107,6731.707,89.0
157,1528.0641,6988.367,89.0
158,1482.372,6163.535,89.0
159,1475.805,6041.8906,74.0
160,1493.5844,5510.203,74.0
161,1484.9797,5856.035,74.0
162,1563.9352,6596.2734,67.0
163,1614.6676,6095.035,74.0
164,1588.9182,5158.715,74.0
165,1469.9508,5858.6016,74.0
166,1520.865,6375.539,64.0
167,1560.8715,5745.8555,89.0
168,1515.2052,6482.504,89.0
169,1505.1865,6335.6953,85.0
170,1662.6599,6665.543,85.0
171,1828.7875,6531.9727,64.0
172,1837.727,7351.9727,64.0
173,1650.3208,5709.625,55.0
174,1651.2751,6438.09,55.0
175,1937.0702,6219.5586,53.0
176,2181.6082,6254.7656,53.0
177,1970.1609,6246.1055,53.0
178,1743.6958,5813.6836,53.0
179,1862.8328,7000.914,53.0
180,1966.8013,8073.633,55.0
181,2031.8596,6379.8633,56.0
182,2028.9991,5402.2305,73.0
183,1923.4954,6565.203,87.0
184,1835.0686,6211.461,52.0
185,1820.7551,5984.6523,52.0
186,1942.8225,7033.207,73.0
187,2202.495,7195.5117,73.0
188,2208.2039,6072.0586,68.0
189,1989.4786,6171.2773,56.0
190,1890.8445,6360.586,99.0
191,1866.6948,6665.8906,65.0
192,2141.4358,5469.4688,65.0
193,2198.481,6864.16,74.0
194,1992.8835,6659.258,77.0
195,1933.2891,5785.625,65.0
196,2026.9459,5851.7383,77.0
197,1980.7351,6938.75,98.0
198,1770.1779,6112.711,98.0
199,1806.2985,6147.008,97.0
200,1888.5063,6119.672,76.0
201,1829.0305,5641.5703,97.0
202,1700.4849,5105.2266,73.0
203,1691.0397,4603.754,50.0
204,1658.0302,5350.3125,78.0
205,1643.0264,5168.9453,78.0
206,1591.9742,5272.5664,78.0
207,1554.6199,5740.496,78.0
208,1726.0634,5731.328,78.0
209,1727.941,4997.7734,78.0
210,1595.1589,4797.0195,78.0
211,1558.2799,4971.492,54.0
212,1634.5537,6167.4805,54.0
213,1753.8057,5689.383,54.0
214,1675.5867,5684.6094,65.0
215,1547.0555,4882.879,87.0
216,1628.5051,4529.582,87.0
217,1744.2179,5173.7305,87.0
218,1773.0596,5542.375,57.0
219,1693.0231,5399.09,57.0
220,1842.55,5712.254,57.0
221,1963.6613,5514.4727,57.0
222,1856.1143,5616.59,57.0
223,1672.4633,5112.8047,57.0
224,1561.3467,5722.715,60.0
225,1777.9865,5898.797,60.0
226,1773.1964,5421.676,68.0
227,1652.4534,5922.949,65.0
228,1576.7565,6147.492,65.0
229,1592.3965,5087.5156,84.0
230,1645.4371,5344.8984,84.0
231,1823.1813,5653.117,84.0
232,1794.8365,5573.2812,84.0
233,1650.4019,5015.953,84.0
234,1557.2062,5191.426,85.0
235,1628.4824,4568.9414,85.0
236,1702.0544,5113.1523,85.0
237,1633.3098,5286.1094,85.0
238,1496.7524,4737.7344,59.0
239,1456.2916,4558.3477,59.0
240,1501.2482,4699.328,59.0
241,1479.2792,4866.535,59.0
242,1508.404,4788.0547,71.0
243,1544.1935,5360.664,71.0
244,1624.4062,5552.301,71.0
245,1639.3954,5652.4805,71.0
246,1619.3125,4880.2383,71.0
247,1521.0533,5233.8477,94.0
248,1420.74,4824.5977,94.0
249,1493.3462,5159.211,94.0
250,1506.6633,5471.0,85.0
251,1492.702,5069.914,59.0
252,1360.6473,4831.461,59.0
253,1284.8596,4632.6914,59.0
254,1448.9453,4324.4062,71.0
255,1567.2081,4949.574,71.0
256,1608.3086,4498.1406,71.0
257,1498.9054,5359.379,71.0
258,1373.6395,5651.707,63.0
259,1442.4197,5314.8477,63.0
260,1618.8608,5757.008,63.0
261,1623.4468,5215.9766,62.0
262,1452.8639,5322.996,57.0
263,1341.1672,4680.5625,70.0
264,1430.2509,5464.3203,70.0
265,1463.5538,5108.4375,70.0
266,1355.3551,5796.1133,70.0
267,1328.6068,5104.7812,70.0
268,1396.4366,5326.6094,58.0
269,1414.2129,4637.8203,51.0
270,1360.0515,5102.367,51.0
271,1439.9241,5115.711,68.0
272,1577.0182,5340.082,68.0
273,1560.6464,5073.2695,68.0
274,1493.5834,5347.172,71.0
275,1566.8992,6653.9023,71.0
276,1681.6254,5892.004,50.0
277,1672.9628,6013.203,50.0
278,1546.7902,5115.711,58.0
279,1504.1514,5147.4375,74.0
280,1658.9205,6569.2773,74.0
281,1836.1139,6088.5977,74.0
282,1675.4412,5625.707,64.0
283,1581.2202,5247.8633,64.0
284,1621.2087,5254.547,64.0
285,1774.2117,6462.461,64.0
286,1744.9751,5928.371,64.0
287,1560.0981,5589.5312,64.0
288,1628.0638,6074.3047,91.0
289,1812.6569,6393.0312,91.0
290,1833.055,5998.3945,56.0
291,1667.3676,5569.633,56.0
292,1487.3373,7027.1055,56.0
293,1610.4169,6520.836,56.0
294,1752.8951,6442.625,56.0
295,1814.45,5860.0977,56.0
296,1718.1294,6631.164,56.0
297,1643.485,6348.5586,63.0
298,1691.2639,6115.6094,63.0
299,1754.4089,7870.5234,88.0
300,1700.0598,7445.09,88.0
301,1634.3239,6964.574,63.0
302,1565.963,6899.957,63.0
303,1573.359,7001.965,63.0
304,1565.5952,6401.797,63.0
305,1600.9603,7022.3594,63.0
306,1590.7397,6969.16,53.0
307,1583.0221,6736.0156,77.0
308,1619.6165,6157.1367,77.0
309,1641.5228,6120.6367,77.0
310,1733.6373,6355.0625,77.0
311,1758.7748,6851.5547,64.0
312,1678.5413,5676.754,64.0
313,1716.7578,5421.6445,64.0
314,1831.114,5337.1953,64.0
315,1859.2601,7013.3555,64.0
316,1684.3754,6960.2227,64.0
317,1541.5385,6167.2266,64.0
318,1654.3318,5449.0938,73.0
319,1716.3716,5449.0938,74.0
320,1579.738,5249.8477,92.0
321,1523.1901,5183.6094,93.0
322,1531.3357,5746.1914,93.0
323,1579.3779,6240.672,93.0
324,1603.3918,5728.914,62.0
325,1499.3951,6475.6953,62.0
326,1514.4493,6475.6953,62.0
327,1624.7578,5304.1797,62.0
328,1696.5905,6549.215,65.0
329,1667.638,5911.75,65.0
330,1571.2733,5857.6367,65.0
331,1647.2126,5797.84,72.0
332,1726.5665,5018.297,58.0
333,1610.2004,6380.6094,58.0
334,1534.5654,5817.4062,58.0
335,1622.1577,6754.1094,55.0
336,1734.9896,5164.461,55.0
337,1712.5022,5577.0195,55.0
338,1655.0079,5595.9688,55.0
339,1557.5546,5768.1055,69.0
340,1476.3826,5578.699,69.0
341,1520.1129,5886.1875,55.0
342,1739.9524,5756.0234,55.0
343,1796.4355,5488.4805,55.0
344,1700.4749,5578.914,62.0
345,1513.3131,5072.176,81.0
346,1517.4324,5734.582,81.0
347,1664.7628,6032.4688,53.0
348,1831.6449,5934.383,62.0
349,1833.6178,5781.3047,69.0
350,1713.5747,5274.879,69.0
351,1596.7067,5502.246,86.0
352,1645.7823,5139.457,86.0
353,1728.6194,5129.508,70.0
354,1616.9695,5341.4727,70.0
355,1572.2406,5117.254,70.0
356,1773.8562,5387.707,70.0
357,1763.1617,6376.164,54.0
358,1526.166,5550.3633,70.0
359,1369.9478,5266.586,70.0
360,1517.2754,6018.59,70.0
361,1695.4474,6002.914,70.0
362,1748.5865,6718.5273,55.0
363,1763.0696,6819.5547,91.0
364,1657.8008,6135.5547,91.0
365,1470.5272,5372.2773,62.0
366,1454.0791,5403.5,91.0
367,1644.2391,5288.1484,75.0
368,1867.9515,6822.1406,75.0
369,1756.0355,7598.6445,75.0
370,1582.506,6514.625,75.0
371,1572.721,5727.875,76.0
372,1635.5322,7313.293,94.0
373,1562.217,6259.3086,61.0
374,1571.2584,5573.8086,61.0
375,1747.0359,5352.621,53.0
376,1905.9396,5675.0625,53.0
377,1838.233,6331.6797,53.0
378,1720.8486,6464.8477,53.0
379,1761.7639,6640.664,53.0
380,1808.7283,6737.1875,53.0
381,1846.2438,6421.3594,53.0
382,1771.1517,7085.9766,72.0
383,1834.0809,6239.8867,68.0
384,1881.0111,7221.0156,68.0
385,1857.3319,7155.9062,68.0
386,1796.3315,5972.2227,68.0
387,1598.4198,5832.832,68.0
388,1487.0447,4494.8086,68.0
389,1577.2249,6155.086,85.0
390,1753.2775,6578.1367,85.0
391,1836.819,5644.211,60.0
392,1709.6637,6268.953,56.0
393,1644.6196,7408.7656,56.0
394,1675.4666,6725.6016,56.0
395,1700.1212,6725.6016,68.0
396,1720.0863,5924.5117,57.0
397,1735.3221,6677.336,70.0
398,1767.722,7736.4883,70.0
399,1755.2384,6656.9766,51.0
400,1704.4579,6633.75,68.0
401,1590.3959,6682.8906,68.0
402,1492.4475,6297.1406,68.0
403,1498.2258,7436.625,68.0
404,1554.9573,6058.246,68.0
405,1608.9796,6085.742,68.0
406,1577.842,5589.7305,68.0
407,1481.0504,4643.7773,68.0
408,1430.6494,4651.172,64.0
409,1545.4008,5363.8867,64.0
410,1630.3704,5548.8516,64.0
411,1637.6002,5572.2734,61.0
412,1518.5205,5471.133,96.0
413,1476.2859,6081.1445,74.0
414,1561.0544,6128.6562,74.0
415,1575.837,6758.2266,74.0
416,1450.5791,6248.504,74.0
417,1355.416,5384.8906,64.0
418,1413.0786,5856.422,64.0
419,1592.6688,5856.422,64.0
420,1601.1138,5716.125,64.0
421,1468.345,5956.301,85.0
422,1359.4836,5804.4766,85.0
423,1398.0477,5276.176,76.0
424,1541.5907,5629.8906,52.0
425,1667.3147,6116.8945,52.0
426,1590.385,5945.578,67.0
427,1441.1078,5887.5273,67.0
428,1481.6573,5053.8945,67.0
429,1635.4314,5326.949,65.0
430,1737.9818,5919.574,79.0
431,1720.3004,6004.3906,67.0
432,1608.2546,6460.6523,68.0
433,1541.3345,7346.3867,62.0
434,1688.8193,5835.426,73.0
435,1748.2582,5970.328,55.0
436,1727.4911,5624.9375,76.0
437,1671.3021,5879.1875,64.0
438,1600.4009,6075.16,63.0
439,1545.5209,6121.289,64.0
440,1564.9126,6005.2773,64.0
441,1644.3171,5897.074,64.0
442,1673.6074,5842.4844,64.0
443,1617.3745,5622.586,64.0
444,1600.0568,5606.7812,64.0
445,1658.9438,5558.8594,64.0
446,1758.5573,6321.6016,54.0
447,1711.9692,5862.7734,54.0
448,1693.1635,5714.879,54.0
449,1712.1539,6888.4688,65.0
450,1810.3073,6041.8125,65.0
451,1816.6439,6886.676,72.0
452,1749.69,6934.199,72.0
453,1694.6139,6211.8086,72.0
454,1703.8381,6021.035,51.0
455,1720.5626,5967.133,53.0
456,1665.5316,6123.492,53.0
457,1659.5142,6118.0703,54.0
458,1669.9204,5290.715,66.0
459,1599.4546,5352.8594,74.0
460,1462.4232,5199.285,74.0
461,1472.222,5679.168,74.0
462,1540.6924,6414.1055,74.0
463,1561.6389,6067.6797,55.0
464,1469.618,5453.492,50.0
465,1388.5083,4764.1367,63.0
466,1417.0442,4896.0625,55.0
467,1498.1053,5213.5703,55.0
468,1491.0687,5578.9375,55.0
469,1469.7953,5308.9883,52.0
470,1482.0974,5412.5938,62.0
471,1447.4756,5394.9375,62.0
472,1374.7577,6637.754,64.0
473,1387.1957,5319.617,64.0
474,1480.8651,6959.9297,64.0
475,1569.1245,8082.496,64.0
476,1579.0979,6174.129,83.0
477,1522.6224,5804.867,69.0
478,1530.6405,6123.449,69.0
479,1518.7502,5745.625,69.0
480,1479.8141,6811.4414,69.0
481,1461.6418,5815.926,53.0
482,1504.4624,4457.0312,53.0
483,1535.5062,5550.7344,53.0
484,1644.736,5622.508,53.0
485,1679.0721,5862.2227,53.0
486,1615.4034,5815.324,66.0
487,1508.9769,5546.4062,59.0
488,1461.1835,5621.6367,58.0
489,1538.3562,5678.117,58.0
490,1641.0055,6775.6953,58.0
491,1704.3684,6298.414,55.0
492,1674.2925,6054.504,55.0
493,1540.7183,5725.836,55.0
494,1540.2485,5822.867,55.0
495,1561.2084,8084.176,55.0
496,1614.2878,8321.031,62.0
497,1588.0695,6597.3867,62.0
498,1587.5739,5706.875,62.0
499,1601.7203,5767.84,57.0
500,1620.2445,5344.172,51.0
501,1609.1107,5236.965,51.0
502,1640.0532,5728.176,70.0
503,1667.69,5222.008,70.0
504,1637.4462,5617.1914,75.0
505,1619.7128,6531.2344,75.0
506,1578.3551,5967.664,70.0
507,1541.0651,6957.34,70.0
508,1579.8733,6579.8086,70.0
509,1653.732,5463.797,70.0
510,1687.4559,5936.5703,54.0
511,1635.3147,5719.6836,54.0
