Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,57.0
1.0,0.0,0.0,57.0
2.0,0.0,0.0,57.0
3.0,0.0,0.0,57.0
4.0,0.0,0.0,82.0
5.0,0.0,0.0,82.0
6.0,0.0,0.0,82.0
7.0,0.0,0.0,82.0
8.0,0.0,0.0,82.0
9.0,0.0,0.0,77.0
10.0,0.0,0.0,82.0
11.0,0.0,0.0,77.0
12.0,0.0,0.0,70.0
13.0,0.0,0.0,51.0
14.0,0.0,0.0,51.0
15.0,0.0,0.0,98.0
16.0,0.0,0.0,103.0
17.0,0.0,0.0,95.0
18.0,0.0,0.0,62.0
19.0,0.0,0.0,95.0
20.0,0.0,0.0,54.0
21.0,0.0,0.0,70.0
22.0,0.0,0.0,70.0
23.0,0.0,0.0,72.0
24.0,0.0,0.0,72.0
25.0,0.0,0.0,72.0
26.0,0.0,0.0,70.0
27.0,0.0,0.0,106.0
28.0,0.0,0.0,84.0
29.0,0.0,0.0,84.0
30.0,0.0,0.0,69.0
31.0,0.0,0.0,69.0
32.0,0.0,0.0,69.0
33.0,0.0,0.0,68.0
34.0,0.0,0.0,68.0
35.0,0.0,0.0,91.0
36.0,0.0,0.0,63.0
37.0,0.0,0.0,91.0
38.0,0.0,0.0,91.0
39.0,0.0,0.0,60.0
40.0,0.0,0.0,60.0
41.0,0.0,0.0,60.0
42.0,0.0,0.0,60.0
43.0,0.0,0.0,86.0
44.0,0.0,0.0,86.0
45.0,0.0,0.0,86.0
46.0,11.875864028930664,1459.01220703125,86.0
47.0,44.03118133544922,1296.89990234375,86.0
48.0,105.12297058105469,2147.225830078125,71.0
49.0,129.8573455810547,2750.001953125,88.0
50.0,173.69187927246094,2082.83544921875,88.0
51.0,254.81521606445312,3142.38525390625,88.0
52.0,305.18731689453125,2921.866943359375,101.0
53.0,385.5835266113281,3349.6708984375,85.0
54.0,463.5713195800781,2975.90380859375,85.0
55.0,537.348388671875,4741.140625,85.0
56.0,648.01220703125,4154.5546875,85.0
57.0,740.5582885742188,4134.51953125,85.0
58.0,850.5883178710938,4666.21484375,84.0
59.0,943.1664428710938,4970.53515625,84.0
60.0,1039.0625,5142.91796875,95.0
61.0,1151.9423828125,4623.6796875,95.0
62.0,1267.4178466796875,4779.6484375,65.0
63.0,1282.5970458984375,4919.03515625,65.0
64.0,1315.998046875,4896.25390625,65.0
65.0,1434.963623046875,4956.78125,65.0
66.0,1474.9521484375,4845.39453125,65.0
67.0,1385.70458984375,5231.46484375,94.0
68.0,1316.764404296875,4807.59375,94.0
69.0,1391.173095703125,4767.08203125,65.0
70.0,1478.3038330078125,5027.9609375,65.0
71.0,1507.68603515625,4966.04296875,65.0
72.0,1508.148193359375,5082.890625,94.0
73.0,1429.1446533203125,4683.50390625,94.0
74.0,1454.97314453125,5610.37890625,88.0
75.0,1577.713134765625,5284.9765625,88.0
76.0,1716.981689453125,5517.546875,88.0
77.0,1833.919677734375,5592.04296875,88.0
78.0,1870.9364013671875,5977.97265625,59.0
79.0,1790.938232421875,5907.64453125,58.0
80.0,1895.1102294921875,6973.9140625,59.0
81.0,2126.87109375,7300.86328125,58.0
82.0,2127.473876953125,7583.83984375,56.0
83.0,1952.826171875,7746.79296875,88.0
84.0,2102.980712890625,8089.09375,105.0
85.0,2265.98291015625,8573.19921875,54.0
86.0,2347.58544921875,8087.84765625,54.0
87.0,2270.468994140625,10141.60546875,52.0
88.0,2356.90966796875,10437.7109375,52.0
89.0,2469.890869140625,9711.34765625,54.0
90.0,2487.233154296875,9705.41796875,54.0
91.0,2478.72021484375,7746.859375,54.0
92.0,2343.69140625,8603.69921875,54.0
93.0,2430.21826171875,9865.49609375,54.0
94.0,2538.049560546875,9403.05078125,54.0
95.0,2371.277587890625,8364.9765625,54.0
96.0,2234.498291015625,7402.6328125,79.0
97.0,2303.927734375,7376.921875,79.0
98.0,2426.22509765625,6953.859375,73.0
99.0,2325.302734375,8244.015625,73.0
100.0,2133.9892578125,9864.63671875,88.0
101.0,2009.5853271484375,7962.171875,93.0
102.0,2044.1070556640625,6710.00390625,93.0
103.0,1959.2669677734375,6948.30078125,58.0
104.0,1951.2808837890625,6604.2421875,53.0
105.0,1890.537841796875,7328.015625,53.0
106.0,1717.2171630859375,6623.3984375,57.0
107.0,1640.64111328125,6847.55859375,57.0
108.0,1595.362548828125,6299.1015625,54.0
109.0,1598.1163330078125,6321.31640625,54.0
110.0,1574.7939453125,6252.953125,54.0
111.0,1564.798583984375,6000.34765625,54.0
112.0,1645.2698974609375,6272.61328125,54.0
113.0,1773.9744873046875,6677.296875,54.0
114.0,1828.915283203125,5058.55859375,54.0
115.0,1702.3514404296875,5309.33203125,54.0
116.0,1632.528076171875,5267.85546875,54.0
117.0,1698.0458984375,4382.27734375,54.0
118.0,1763.8385009765625,4948.6875,89.0
