Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,125.0
1.0,0.0,0.0,145.0
2.0,0.0,0.0,145.0
3.0,0.0,0.0,96.0
4.0,0.0,0.0,96.0
5.0,0.0,0.0,98.0
6.0,0.0,0.0,96.0
7.0,0.0,0.0,98.0
8.0,0.0,0.0,98.0
9.0,0.0,0.0,115.0
10.0,0.0,0.0,99.0
11.0,0.0,0.0,137.0
12.0,0.0,0.0,91.0
13.0,0.0,0.0,125.0
14.0,0.0,0.0,133.0
15.0,0.0,0.0,133.0
16.0,0.0,0.0,133.0
17.0,0.0,0.0,133.0
18.0,0.0,0.0,133.0
19.0,0.0,0.0,133.0
20.0,0.0,0.0,116.0
21.0,0.0,0.0,116.0
22.0,0.0,0.0,116.0
23.0,0.0,0.0,116.0
24.0,0.0,0.0,116.0
25.0,0.0,0.0,116.0
26.0,0.0,0.0,140.0
27.0,2.033560037612915,1089.41015625,84.0
28.0,12.21230697631836,1416.232421875,140.0
29.0,23.840009689331055,1270.236328125,84.0
30.0,32.57280349731445,1905.3544921875,140.0
31.0,63.00619125366211,1778.330078125,108.0
32.0,94.81990051269531,2417.201171875,84.0
33.0,145.43727111816406,2677.8544921875,143.0
34.0,192.57701110839844,3683.267578125,114.0
35.0,252.19505310058594,3215.146484375,143.0
36.0,315.20306396484375,2967.826171875,126.0
37.0,394.6359558105469,3748.99609375,126.0
38.0,466.8354797363281,4820.13671875,133.0
39.0,552.7938232421875,5285.609375,126.0
40.0,621.1569213867188,5543.44140625,126.0
41.0,724.6143798828125,6355.3125,126.0
42.0,871.9705200195312,6496.5390625,95.0
43.0,1136.9071044921875,7098.35546875,110.0
44.0,1347.6217041015625,8121.7890625,95.0
45.0,1498.59912109375,7148.59765625,120.0
46.0,1588.2967529296875,8897.4375,95.0
47.0,1611.4144287109375,8245.92578125,133.0
48.0,1625.491943359375,9305.83203125,133.0
49.0,1749.0399169921875,8112.390625,156.0
50.0,1943.477294921875,10184.8203125,127.0
51.0,2060.08056640625,11318.06640625,156.0
52.0,2152.39404296875,11062.34375,125.0
53.0,2262.876953125,10523.8125,125.0
54.0,2399.95166015625,13011.26171875,125.0
55.0,2530.579833984375,12365.9453125,125.0
56.0,2753.61962890625,14344.49609375,99.0
57.0,2900.835205078125,13246.18359375,82.0
58.0,2939.574462890625,12093.9140625,85.0
59.0,3055.762451171875,12189.17578125,93.0
60.0,3128.395263671875,13063.4375,93.0
61.0,3148.036865234375,12215.3671875,141.0
