Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,42.0
1.0,0.0,0.0,42.0
2.0,0.0,0.0,42.0
3.0,0.0,0.0,56.0
4.0,0.0,0.0,56.0
5.0,0.0,0.0,70.0
6.0,0.0,0.0,92.0
7.0,0.0,0.0,92.0
8.0,0.0,0.0,54.0
9.0,0.0,0.0,54.0
10.0,0.0,0.0,54.0
11.0,0.0,0.0,54.0
12.0,0.0,0.0,54.0
13.0,0.0,0.0,49.0
14.0,0.0,0.0,65.0
15.0,0.0,0.0,49.0
16.0,0.0,0.0,69.0
17.0,0.0,0.0,69.0
18.0,0.0,0.0,69.0
19.0,0.0,0.0,68.0
20.0,0.0,0.0,68.0
21.0,0.0,0.0,36.0
22.0,0.0,0.0,36.0
23.0,0.0,0.0,36.0
24.0,0.0,0.0,90.0
25.0,0.0,0.0,90.0
26.0,0.0,0.0,90.0
27.0,0.0,0.0,90.0
28.0,0.0,0.0,73.0
29.0,0.0,0.0,52.0
30.0,0.0,0.0,73.0
31.0,0.0,0.0,88.0
32.0,0.0,0.0,86.0
33.0,0.0,0.0,86.0
34.0,0.0,0.0,70.0
35.0,0.0,0.0,79.0
36.0,0.0,0.0,79.0
37.0,0.0,0.0,46.0
38.0,0.0,0.0,72.0
39.0,0.0,0.0,70.0
40.0,0.0,0.0,45.0
41.0,0.0,0.0,45.0
42.0,3.1129701137542725,815.59814453125,67.0
43.0,1.097796082496643,191.90576171875,67.0
44.0,3.478299379348755,815.59814453125,67.0
45.0,10.049552917480469,1338.68408203125,67.0
46.0,7.282193183898926,1189.94140625,48.0
47.0,8.703980445861816,911.55078125,48.0
48.0,21.093969345092773,863.57470703125,48.0
49.0,170.20338439941406,4023.294677734375,48.0
50.0,209.62286376953125,2543.462158203125,48.0
51.0,359.57525634765625,3322.20458984375,48.0
52.0,445.7736511230469,4065.32958984375,48.0
53.0,513.79248046875,3466.452392578125,49.0
54.0,603.245361328125,4821.46875,48.0
55.0,643.5458984375,3812.77783203125,48.0
56.0,829.061767578125,3409.6318359375,48.0
57.0,998.9644165039062,4358.3671875,48.0
58.0,1090.3538818359375,4134.81640625,48.0
59.0,1254.1781005859375,4900.98046875,48.0
60.0,1337.039306640625,5097.01953125,48.0
61.0,1277.16796875,5176.53515625,49.0
62.0,1234.538818359375,4964.26171875,49.0
63.0,1314.724853515625,4047.80029296875,43.0
64.0,1513.671630859375,4585.01953125,77.0
65.0,1651.75537109375,4871.73046875,77.0
66.0,1709.9512939453125,5713.453125,56.0
67.0,1673.607421875,4543.953125,56.0
68.0,1563.537353515625,5409.5546875,82.0
69.0,1701.784423828125,4779.09375,93.0
70.0,1660.87939453125,4751.5625,69.0
71.0,1614.1068115234375,4541.6171875,47.0
72.0,1661.0703125,4958.03125,47.0
73.0,1669.5262451171875,4681.078125,47.0
74.0,1881.830322265625,5249.30859375,47.0
75.0,2022.198486328125,5915.0625,47.0
76.0,1819.6954345703125,5368.57421875,73.0
77.0,1678.4090576171875,4996.640625,73.0
78.0,1765.984619140625,5091.6796875,82.0
79.0,1858.8033447265625,4719.83984375,82.0
