Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,0.0,0.0,147.0
1.0,0.0,0.0,116.0
2.0,0.0,0.0,124.0
3.0,0.0,0.0,124.0
4.0,0.0,0.0,124.0
5.0,0.0,0.0,124.0
6.0,0.0,0.0,115.0
7.0,0.0,0.0,115.0
8.0,0.0,0.0,103.0
9.0,0.0,0.0,103.0
10.0,0.0,0.0,76.0
11.0,0.0,0.0,107.0
12.0,0.0,0.0,85.0
13.0,0.0,0.0,124.0
14.0,0.0,0.0,139.0
15.0,0.0,0.0,84.0
16.0,0.0,0.0,107.0
17.0,0.0,0.0,89.0
18.0,0.0,0.0,154.0
19.0,0.0,0.0,81.0
20.0,0.0,0.0,106.0
21.0,0.0,0.0,95.0
22.0,0.0,0.0,106.0
23.0,0.0,0.0,95.0
24.0,0.0,0.0,152.0
25.0,0.0,0.0,95.0
26.0,0.0,0.0,145.0
27.0,0.0,0.0,156.0
28.0,0.0,0.0,114.0
29.0,0.0,0.0,91.0
30.0,0.0,0.0,104.0
31.0,0.0,0.0,142.0
32.0,0.0,0.0,84.0
33.0,0.0,0.0,110.0
34.0,0.0,0.0,152.0
35.0,0.0,0.0,136.0
36.0,0.0,0.0,92.0
37.0,0.0,0.0,137.0
38.0,0.0,0.0,152.0
39.0,0.0,0.0,101.0
40.0,0.0,0.0,162.0
41.0,0.0,0.0,128.0
42.0,0.0,0.0,89.0
43.0,0.0,0.0,135.0
44.0,0.0,0.0,92.0
45.0,6.25370454788208,1575.93359375,159.0
46.0,26.992172241210938,4321.4921875,129.0
47.0,26.738052368164062,3583.677734375,129.0
48.0,52.54142761230469,4109.984375,125.0
49.0,157.86520385742188,6922.078125,131.0
50.0,169.13848876953125,6381.2890625,108.0
51.0,144.77687072753906,5662.296875,108.0
52.0,178.110595703125,5280.78125,108.0
53.0,191.65748596191406,8062.1328125,154.0
54.0,171.58294677734375,8062.1328125,153.0
55.0,222.234375,7195.8359375,99.0
56.0,287.0899658203125,7061.953125,155.0
57.0,340.8850402832031,8485.7890625,152.0
58.0,303.70928955078125,7637.2109375,113.0
59.0,412.3121643066406,8774.2265625,113.0
60.0,572.5734252929688,7907.63671875,156.0
61.0,555.5457153320312,11273.9765625,126.0
62.0,597.9035034179688,8849.46484375,125.0
63.0,666.4686889648438,7905.171875,86.0
64.0,673.5289306640625,9121.34765625,99.0
65.0,704.9847412109375,9793.4453125,99.0
66.0,830.8634643554688,8633.828125,99.0
67.0,880.7290649414062,8122.91015625,124.0
68.0,831.8460693359375,8353.234375,130.0
69.0,915.6343994140625,9857.46484375,154.0
70.0,1037.3658447265625,14816.078125,84.0
71.0,1350.634521484375,11831.546875,135.0
72.0,1422.0968017578125,12533.94140625,91.0
73.0,1508.35302734375,13047.60546875,114.0
74.0,1704.3543701171875,8799.8203125,99.0
75.0,1900.5321044921875,11364.52734375,87.0
76.0,1928.670166015625,9642.96875,99.0
77.0,1999.4964599609375,10611.59765625,141.0
78.0,2243.69140625,9550.4375,106.0
79.0,2593.109619140625,10761.66796875,136.0
80.0,2641.067626953125,13747.62109375,128.0
81.0,2523.790771484375,11129.02734375,141.0
82.0,2599.88037109375,9818.45703125,122.0
83.0,2622.6904296875,9195.046875,119.0
84.0,2541.665283203125,11238.1328125,97.0
85.0,2783.2763671875,11674.56640625,97.0
86.0,2945.7861328125,10262.91796875,99.0
87.0,2968.541259765625,10355.3671875,119.0
88.0,2960.016357421875,10545.84375,115.0
89.0,2821.52490234375,10709.5,89.0
90.0,2700.196533203125,11717.453125,89.0
91.0,2716.491455078125,10457.921875,162.0
92.0,2706.66162109375,12621.62890625,87.0
93.0,2937.483154296875,12595.171875,110.0
94.0,2991.69384765625,14677.40234375,112.0
95.0,3103.705810546875,12384.6328125,112.0
96.0,3258.649658203125,12668.5,102.0
97.0,3211.59765625,11296.08203125,116.0
98.0,3262.259033203125,12434.46484375,128.0
99.0,2902.90576171875,12143.49609375,124.0
100.0,2962.840087890625,11286.85546875,88.0
101.0,3283.3466796875,14804.66015625,118.0
102.0,3291.923828125,12050.75390625,136.0
103.0,3104.87744140625,12210.64453125,125.0
104.0,3405.1845703125,13607.51953125,96.0
105.0,3515.2353515625,14573.3359375,138.0
106.0,3481.00244140625,11114.1796875,150.0
107.0,3520.746337890625,11136.59765625,135.0
108.0,3553.059326171875,11243.6796875,102.0
109.0,3988.4052734375,12608.37890625,95.0
110.0,4275.4658203125,13963.3828125,95.0
111.0,3895.576904296875,12802.9375,126.0
112.0,3739.401611328125,13370.6328125,111.0
113.0,4030.73388671875,12786.27734375,126.0
114.0,4061.89013671875,13222.2890625,93.0
115.0,3871.439697265625,13022.5,136.0
116.0,4161.5625,15701.71484375,127.0
117.0,4094.212158203125,12467.58203125,119.0
118.0,3877.5048828125,12212.25,149.0
119.0,4140.70751953125,12878.71875,125.0
120.0,4354.142578125,13794.171875,139.0
121.0,4124.8955078125,13663.2109375,138.0
122.0,3969.844970703125,13579.62890625,84.0
123.0,4249.58349609375,14120.5,101.0
124.0,4297.86376953125,13098.0078125,72.0
125.0,4316.583984375,13192.58203125,129.0
126.0,4676.1103515625,12804.5859375,129.0
127.0,4366.6689453125,15274.421875,151.0
