Depth,AvgAmplitude,MaxAmplitude,Dominant Frequency
0.0,20.081201553344727,4780.98046875,77.0
1.0,31.20429229736328,5293.7578125,77.0
2.0,33.863548278808594,5708.95703125,62.0
3.0,49.830265045166016,8918.24609375,62.0
4.0,76.66429901123047,12072.2578125,77.0
5.0,101.30347442626953,9135.76171875,77.0
6.0,120.37254333496094,9426.1640625,63.0
7.0,137.15402221679688,11133.9453125,63.0
8.0,155.65896606445312,10399.5546875,63.0
9.0,195.9098358154297,9659.04296875,65.0
10.0,241.60533142089844,13918.9609375,77.0
11.0,307.27740478515625,14561.37109375,65.0
12.0,356.5637512207031,13939.828125,65.0
13.0,417.38458251953125,11632.32421875,65.0
14.0,567.65625,11523.296875,65.0
15.0,710.0302734375,12310.31640625,69.0
16.0,827.0169067382812,12018.94921875,69.0
17.0,893.6597900390625,13122.93359375,69.0
18.0,946.6885986328125,12591.77734375,63.0
19.0,1092.83544921875,13254.5,69.0
20.0,1317.4163818359375,12990.20703125,70.0
21.0,1492.1368408203125,13888.359375,70.0
22.0,1526.1513671875,14949.0,70.0
23.0,1555.52783203125,15091.81640625,75.0
24.0,1719.4031982421875,14285.3828125,67.0
25.0,1884.4630126953125,13687.5,70.0
26.0,2041.60205078125,14344.5,70.0
27.0,2026.7303466796875,13856.42578125,70.0
28.0,2073.94189453125,14167.59765625,76.0
29.0,2258.53173828125,14932.12890625,76.0
30.0,2408.497314453125,14743.9765625,76.0
31.0,2518.934326171875,15034.11328125,76.0
32.0,2574.55615234375,14749.85546875,76.0
33.0,2523.270751953125,13146.4609375,76.0
34.0,2704.765380859375,15197.19921875,79.0
35.0,3008.765625,16063.4296875,59.0
36.0,3196.264892578125,14805.91796875,59.0
37.0,2982.037841796875,13682.453125,59.0
38.0,2818.953369140625,12186.4765625,77.0
39.0,3144.266357421875,14831.78515625,77.0
40.0,3572.521728515625,14571.6171875,77.0
41.0,3574.59423828125,13682.08984375,77.0
42.0,3282.240234375,13069.3828125,77.0
43.0,3179.298583984375,13957.3046875,83.0
44.0,3403.258544921875,13716.43359375,83.0
45.0,3632.64013671875,15790.33984375,83.0
46.0,3727.4482421875,14099.9296875,78.0
47.0,3690.16748046875,14324.34765625,78.0
48.0,3552.239013671875,13680.375,74.0
49.0,3592.458740234375,14109.02734375,78.0
50.0,3711.484619140625,15266.1796875,78.0
51.0,3709.790283203125,14869.44140625,78.0
52.0,3641.095947265625,15083.62109375,109.0
53.0,3474.947265625,15062.78125,78.0
54.0,3543.775634765625,15089.75390625,78.0
55.0,3637.28125,15935.73828125,78.0
56.0,3697.71240234375,15181.59375,72.0
57.0,3606.59912109375,15774.875,72.0
58.0,3537.076904296875,14788.9453125,72.0
59.0,3605.63818359375,15992.62109375,72.0
60.0,3664.8779296875,15295.984375,72.0
61.0,3587.798095703125,16013.61328125,64.0
62.0,3373.117431640625,22140.55859375,72.0
63.0,3227.827880859375,18520.08984375,72.0
64.0,3470.03076171875,16255.78515625,72.0
65.0,3564.97216796875,22519.00390625,79.0
66.0,3502.85546875,22674.3046875,79.0
67.0,3392.552490234375,18004.3828125,79.0
68.0,3470.2392578125,17013.31640625,79.0
69.0,3678.662841796875,16656.62890625,79.0
70.0,3841.71533203125,16617.47265625,79.0
71.0,3920.8369140625,23950.78515625,79.0
72.0,3930.159912109375,23620.4296875,79.0
73.0,3920.581787109375,21620.4140625,79.0
74.0,3881.9033203125,19476.23828125,86.0
75.0,3908.696533203125,17700.93359375,64.0
76.0,3851.303466796875,19210.31640625,64.0
77.0,3916.435791015625,23764.5859375,64.0
78.0,3999.004638671875,21799.09375,87.0
79.0,4099.48876953125,16107.74609375,64.0
80.0,4048.33837890625,17441.703125,64.0
81.0,4008.761962890625,17965.21484375,64.0
82.0,3972.871337890625,18235.8984375,64.0
83.0,3835.83642578125,23049.42578125,76.0
84.0,3824.682373046875,25836.9453125,76.0
85.0,3975.1220703125,25581.671875,76.0
86.0,4085.388427734375,28533.61328125,76.0
87.0,4016.931884765625,32508.49609375,70.0
88.0,3922.098876953125,32766.5,70.0
89.0,4067.851318359375,28896.44140625,70.0
90.0,4293.25244140625,29476.87109375,70.0
91.0,4202.65087890625,32731.2109375,70.0
92.0,4112.44580078125,32766.5,70.0
93.0,4124.9482421875,32766.5,70.0
94.0,4044.110107421875,32766.5,67.0
95.0,3868.39794921875,31239.51171875,70.0
96.0,3786.3291015625,32542.48046875,70.0
97.0,3827.7236328125,32414.46875,70.0
98.0,3858.94091796875,31476.48046875,70.0
99.0,3757.908935546875,26393.6328125,70.0
100.0,3596.985107421875,24875.22265625,75.0
101.0,3559.63916015625,27200.01171875,75.0
102.0,3423.70849609375,24128.0625,73.0
103.0,3333.084228515625,18761.890625,76.0
104.0,3459.08349609375,21498.78515625,76.0
105.0,3560.481201171875,23173.7578125,80.0
106.0,3470.0859375,23173.7578125,80.0
107.0,3311.0654296875,15645.61328125,76.0
108.0,3258.320556640625,14720.0390625,76.0
109.0,3451.81689453125,14567.26953125,76.0
110.0,3620.8857421875,23541.59765625,76.0
111.0,3576.684814453125,22622.00390625,76.0
112.0,3364.0859375,13242.1484375,78.0
113.0,3292.90185546875,14523.51953125,77.0
114.0,3502.5625,16350.01171875,84.0
115.0,3637.788330078125,16790.44140625,84.0
116.0,3565.1484375,20179.3359375,84.0
117.0,3312.72119140625,16482.359375,84.0
118.0,3364.897705078125,13998.83984375,80.0
119.0,3494.97265625,17535.82421875,68.0
120.0,3637.166748046875,17256.953125,68.0
121.0,3662.523681640625,17714.6875,68.0
122.0,3743.923583984375,20043.03125,68.0
